Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"JOURNAL OF NUTRITIONAL BIOCHEMISTRY","J NUTR BIOCHEM","0955-2863","1873-4847","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.6","1.17","5.9"," 66/285 "," 53/315 "
"JOURNAL OF CELLULAR PHYSIOLOGY","J CELL PHYSIOL","0021-9541","1097-4652","CELL BIOLOGY - SCIE","5.6","1.13","5.9"," 65/191 "," 46/203 "
"JOURNAL OF MOLECULAR BIOLOGY","J MOL BIOL","0022-2836","1089-8638","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.6","0.94","5.5"," 66/285 "," 79/315 "
"INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","INT J MOL SCI","1661-6596","1422-0067","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.6","0.71","6.2"," 66/285 "," 143/315 "
"BioScience Trends","BIOSCI TRENDS","1881-7815","1881-7823","BIOLOGY - SCIE","5.5","1.36","3.6"," 13/92 "," 12/111 "
"Biology Direct","BIOL DIRECT","N/A","1745-6150","BIOLOGY - SCIE","5.5","1.26","3.8"," 13/92 "," 16/111 "
"AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY","AM J PHYSIOL-CELL PH","0363-6143","1522-1563","CELL BIOLOGY - SCIE","5.5","1.12","5.4"," 66/191 "," 48/203 "
"Biomedical Journal","BIOMED J","2319-4170","2320-2890","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.5","0.92","6.1"," 70/285 "," 82/315 "
"AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS","AMYLOID","1350-6129","1744-2818","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.5","0.89","5.8"," 70/285 "," 90/315 "
"Frontiers in Cell and Developmental Biology","FRONT CELL DEV BIOL","2296-634X","2296-634X","CELL BIOLOGY - SCIE","5.5","0.87","5.8"," 66/191 "," 74/203 "
"Biomolecules","BIOMOLECULES","N/A","2218-273X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.5","0.81","5.8"," 70/285 "," 111/315 "
"JOURNAL OF LEUKOCYTE BIOLOGY","J LEUKOCYTE BIOL","0741-5400","1938-3673","CELL BIOLOGY - SCIE","5.5","0.75","5.4"," 66/191 "," 87/203 "
"Journal of Molecular Cell Biology","J MOL CELL BIOL","1674-2788","1759-4685","CELL BIOLOGY - SCIE","5.5","0.74","6.5"," 66/191 "," 88/203 "
"BMC BIOLOGY","BMC BIOL","N/A","1741-7007","BIOLOGY - SCIE","5.4","1.52","7.1"," 15/92 "," 9/111 "
"JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY","J PHOTOCH PHOTOBIO B","1011-1344","1873-2682","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.4","1.33","6"," 73/285 "," 42/315 "
"JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY","J PHOTOCH PHOTOBIO B","1011-1344","1873-2682","BIOPHYSICS - SCIE","5.4","1.33","6"," 11/70 "," 5/74 "
"FEBS Journal","FEBS J","1742-464X","1742-4658","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.4","0.77","5.4"," 73/285 "," 121/315 "
"Current Opinion in Insect Science","CURR OPIN INSECT SCI","2214-5745","2214-5753","BIOLOGY - SCIE","5.3","1.36","6"," 16/92 "," 12/111 "
"MECHANISMS OF AGEING AND DEVELOPMENT","MECH AGEING DEV","0047-6374","1872-6216","CELL BIOLOGY - SCIE","5.3","1.01","5.2"," 70/191 "," 56/203 "
"JOURNAL OF CELLULAR AND MOLECULAR MEDICINE","J CELL MOL MED","1582-1838","1582-4934","CELL BIOLOGY - SCIE","5.3","0.91","5.5"," 70/191 "," 68/203 "
"MOLECULAR AND CELLULAR BIOLOGY","MOL CELL BIOL","0270-7306","1098-5549","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.3","0.71","4.4"," 75/285 "," 143/315 "
"MOLECULAR AND CELLULAR BIOLOGY","MOL CELL BIOL","0270-7306","1098-5549","CELL BIOLOGY - SCIE","5.3","0.71","4.4"," 70/191 "," 94/203 "
"PLANT SCIENCE","PLANT SCI","0168-9452","1873-2259","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.2","1.11","5.7"," 76/285 "," 59/315 "
"EUROPEAN JOURNAL OF HUMAN GENETICS","EUR J HUM GENET","1018-4813","1476-5438","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.2","1.04","4.6"," 76/285 "," 68/315 "
"Aging-US","AGING-US","1945-4589","N/A","CELL BIOLOGY - SCIE","5.2","0.97","5.8"," 73/191 "," 58/203 "
"STEM CELLS","STEM CELLS","1066-5099","1549-4918","CELL BIOLOGY - SCIE","5.2","0.97","5.8"," 73/191 "," 58/203 "
"MOLECULAR CANCER RESEARCH","MOL CANCER RES","1541-7786","1557-3125","CELL BIOLOGY - SCIE","5.2","0.92","5.7"," 73/191 "," 65/203 "
"BIOORGANIC CHEMISTRY","BIOORG CHEM","0045-2068","1090-2120","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.1","1.18","5.3"," 78/285 "," 51/315 "
"CHEMICO-BIOLOGICAL INTERACTIONS","CHEM-BIOL INTERACT","0009-2797","1872-7786","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.1","1.17","4.9"," 78/285 "," 53/315 "
"PLANT MOLECULAR BIOLOGY","PLANT MOL BIOL","0167-4412","1573-5028","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.1","1.03","5.3"," 78/285 "," 69/315 "
"GENE THERAPY","GENE THER","0969-7128","1476-5462","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.1","0.96","4.9"," 78/285 "," 74/315 "
"BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL RESEARCH","BBA-MOL CELL RES","0167-4889","1879-2596","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.1","0.76","5.3"," 78/285 "," 125/315 "
"BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL RESEARCH","BBA-MOL CELL RES","0167-4889","1879-2596","CELL BIOLOGY - SCIE","5.1","0.76","5.3"," 76/191 "," 86/203 "
"INFLAMMATION","INFLAMMATION","0360-3997","1573-2576","CELL BIOLOGY - SCIE","5.1","0.71","4.8"," 76/191 "," 94/203 "
"Journal of Zhejiang University-SCIENCE B","J ZHEJIANG UNIV-SC B","1673-1581","1862-1783","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5.1","0.64","4.1"," 78/285 "," 171/315 "
"PATHOBIOLOGY","PATHOBIOLOGY","1015-2008","1423-0291","CELL BIOLOGY - SCIE","5","1.22","4.8"," 78/191 "," 43/203 "
"BIOELECTROCHEMISTRY","BIOELECTROCHEMISTRY","1567-5394","1878-562X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5","1.18","4.9"," 84/285 "," 51/315 "
"BIOELECTROCHEMISTRY","BIOELECTROCHEMISTRY","1567-5394","1878-562X","BIOLOGY - SCIE","5","1.18","4.9"," 17/92 "," 18/111 "
"BIOELECTROCHEMISTRY","BIOELECTROCHEMISTRY","1567-5394","1878-562X","BIOPHYSICS - SCIE","5","1.18","4.9"," 12/70 "," 7/74 "
"ACS Chemical Neuroscience","ACS CHEM NEUROSCI","1948-7193","1948-7193","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5","0.96","4.8"," 84/285 "," 74/315 "
"JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY","J MOL CELL CARDIOL","0022-2828","1095-8584","CELL BIOLOGY - SCIE","5","0.96","5.1"," 78/191 "," 61/203 "
"Frontiers in Molecular Biosciences","FRONT MOL BIOSCI","N/A","2296-889X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5","0.75","5.2"," 84/285 "," 127/315 "
"MOLECULAR ECOLOGY","MOL ECOL","0962-1083","1365-294X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.9","1.25","5.6"," 87/285 "," 46/315 "
"PLANT AND CELL PHYSIOLOGY","PLANT CELL PHYSIOL","0032-0781","1471-9053","CELL BIOLOGY - SCIE","4.9","0.92","5.7"," 80/191 "," 65/203 "
"Skeletal Muscle","SKELET MUSCLE","2044-5040","2044-5040","CELL BIOLOGY - SCIE","4.9","0.65","4.8"," 80/191 "," 104/203 "
"METHODS","METHODS","1046-2023","1095-9130","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.8","1.07","4.4"," 88/285 "," 66/315 "
"Stem Cell Reviews and Reports","STEM CELL REV REP","2629-3269","2629-3277","CELL BIOLOGY - SCIE","4.8","0.98","4.7"," 82/191 "," 57/203 "
"FASEB JOURNAL","FASEB J","0892-6638","1530-6860","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.8","0.93","5.2"," 88/285 "," 80/315 "
"FASEB JOURNAL","FASEB J","0892-6638","1530-6860","BIOLOGY - SCIE","4.8","0.93","5.2"," 18/92 "," 25/111 "
"FASEB JOURNAL","FASEB J","0892-6638","1530-6860","CELL BIOLOGY - SCIE","4.8","0.93","5.2"," 82/191 "," 64/203 "
"JOURNAL OF BIOLOGICAL CHEMISTRY","J BIOL CHEM","N/A","1083-351X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.8","0.87","4.8"," 88/285 "," 94/315 "
"BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS","BBA-MOL CELL BIOL L","1388-1981","1879-2618","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.8","0.79","5"," 88/285 "," 115/315 "
"BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS","BBA-MOL CELL BIOL L","1388-1981","1879-2618","BIOPHYSICS - SCIE","4.8","0.79","5"," 13/70 "," 22/74 "
"BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS","BBA-MOL CELL BIOL L","1388-1981","1879-2618","CELL BIOLOGY - SCIE","4.8","0.79","5"," 82/191 "," 83/203 "
"CELLULAR SIGNALLING","CELL SIGNAL","0898-6568","1873-3913","CELL BIOLOGY - SCIE","4.8","0.66","4.5"," 82/191 "," 100/203 "
"Pesticide Biochemistry and Physiology","PESTIC BIOCHEM PHYS","0048-3575","1095-9939","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.7","1.52","4.7"," 92/285 "," 31/315 "
"PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","P ROY SOC B-BIOL SCI","0962-8452","1471-2954","BIOLOGY - SCIE","4.7","1.22","5.2"," 19/92 "," 17/111 "
"BIOCONJUGATE CHEMISTRY","BIOCONJUGATE CHEM","1043-1802","1520-4812","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.7","0.95","4.6"," 92/285 "," 77/315 "
"Biochimica et Biophysica Acta-Gene Regulatory Mechanisms","BBA-GENE REGUL MECH","1874-9399","1876-4320","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.7","0.91","4.3"," 92/285 "," 86/315 "
"Biochimica et Biophysica Acta-Gene Regulatory Mechanisms","BBA-GENE REGUL MECH","1874-9399","1876-4320","BIOPHYSICS - SCIE","4.7","0.91","4.3"," 14/70 "," 14/74 "
"Biomedicines","BIOMEDICINES","N/A","2227-9059","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.7","0.88","4.9"," 92/285 "," 92/315 "
"JOURNAL OF NEUROCHEMISTRY","J NEUROCHEM","0022-3042","1471-4159","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.7","0.86","5"," 92/285 "," 99/315 "
"MOLECULAR CARCINOGENESIS","MOL CARCINOGEN","0899-1987","1098-2744","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.6","0.85","4.1"," 97/285 "," 101/315 "
"EXCLI Journal","EXCLI J","1611-2156","1611-2156","BIOLOGY - SCIE","4.6","0.82","4.4"," 20/92 "," 34/111 "
"MACROMOLECULAR BIOSCIENCE","MACROMOL BIOSCI","1616-5187","1616-5195","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.6","0.72","4.5"," 97/285 "," 138/315 "
"PHYSIOLOGICAL GENOMICS","PHYSIOL GENOMICS","1094-8341","1531-2267","CELL BIOLOGY - SCIE","4.6","0.7","4.1"," 86/191 "," 96/203 "
"MOLECULES","MOLECULES","N/A","1420-3049","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.6","0.66","4.9"," 97/285 "," 161/315 "
"IUBMB LIFE","IUBMB LIFE","1521-6543","1521-6551","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.6","0.6","4.5"," 97/285 "," 181/315 "
"IUBMB LIFE","IUBMB LIFE","1521-6543","1521-6551","CELL BIOLOGY - SCIE","4.6","0.6","4.5"," 86/191 "," 113/203 "
"MEDIATORS OF INFLAMMATION","MEDIAT INFLAMM","0962-9351","1466-1861","CELL BIOLOGY - SCIE","4.6","0.57","5.1"," 86/191 "," 121/203 "
"Microbial Cell","MICROB CELL","2311-2638","2311-2638","CELL BIOLOGY - SCIE","4.6","0.53","4.7"," 86/191 "," 139/203 "
"CYTOTHERAPY","CYTOTHERAPY","1465-3249","1477-2566","CELL BIOLOGY - SCIE","4.5","0.9","5"," 90/191 "," 70/203 "
"RNA","RNA","1355-8382","1469-9001","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.5","0.87","4.7"," 101/285 "," 94/315 "
"Lipids in Health and Disease","LIPIDS HEALTH DIS","N/A","1476-511X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.5","0.74","4.9"," 101/285 "," 131/315 "
"TRAFFIC","TRAFFIC","1398-9219","1600-0854","CELL BIOLOGY - SCIE","4.5","0.55","5.1"," 90/191 "," 129/203 "
"Life Science Alliance","LIFE SCI ALLIANCE","N/A","2575-1077","BIOLOGY - SCIE","4.4","1.29","4.5"," 21/92 "," 15/111 "
"SAUDI JOURNAL OF BIOLOGICAL SCIENCES","SAUDI J BIOL SCI","1319-562X","2213-7106","BIOLOGY - SCIE","4.4","1.09","4.4"," 21/92 "," 22/111 "
"Interface Focus","INTERFACE FOCUS","2042-8898","2042-8901","BIOLOGY - SCIE","4.4","0.97","4.6"," 21/92 "," 24/111 "
"JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS","J BIOMOL STRUCT DYN","0739-1102","1538-0254","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.4","0.96","3.8"," 103/285 "," 74/315 "
"JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS","J BIOMOL STRUCT DYN","0739-1102","1538-0254","BIOPHYSICS - SCIE","4.4","0.96","3.8"," 15/70 "," 12/74 "
"JOURNAL OF LIPOSOME RESEARCH","J LIPOSOME RES","0898-2104","1532-2394","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.4","0.93","4.1"," 103/285 "," 80/315 "
"NEUROCHEMICAL RESEARCH","NEUROCHEM RES","0364-3190","1573-6903","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.4","0.84","4.2"," 103/285 "," 104/315 "
"PROCESS BIOCHEMISTRY","PROCESS BIOCHEM","1359-5113","1873-3298","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.4","0.8","4.2"," 103/285 "," 113/315 "
"MITOCHONDRION","MITOCHONDRION","1567-7249","1872-8278","CELL BIOLOGY - SCIE","4.4","0.73","4.3"," 92/191 "," 91/203 "
"CURRENT OPINION IN LIPIDOLOGY","CURR OPIN LIPIDOL","0957-9672","1473-6535","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.4","0.55","4.3"," 103/285 "," 203/315 "
"Disease Models & Mechanisms","DIS MODEL MECH","1754-8403","1754-8411","CELL BIOLOGY - SCIE","4.3","1.03","5.1"," 93/191 "," 54/203 "
"BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS","BBA-BIOENERGETICS","0005-2728","1879-2650","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.3","0.88","4.1"," 108/285 "," 92/315 "
"BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS","BBA-BIOENERGETICS","0005-2728","1879-2650","BIOPHYSICS - SCIE","4.3","0.88","4.1"," 16/70 "," 16/74 "
"MATHEMATICAL BIOSCIENCES","MATH BIOSCI","0025-5564","1879-3134","BIOLOGY - SCIE","4.3","0.88","2.6"," 24/92 "," 31/111 "
"Pigment Cell & Melanoma Research","PIGM CELL MELANOMA R","1755-1471","1755-148X","CELL BIOLOGY - SCIE","4.3","0.85","4.1"," 93/191 "," 78/203 "
"GLYCOBIOLOGY","GLYCOBIOLOGY","0959-6658","1460-2423","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.3","0.78","4.7"," 108/285 "," 116/315 "
"CELLULAR IMMUNOLOGY","CELL IMMUNOL","0008-8749","1090-2163","CELL BIOLOGY - SCIE","4.3","0.6","4.8"," 93/191 "," 113/203 "
"Expert Opinion on Drug Metabolism & Toxicology","EXPERT OPIN DRUG MET","1742-5255","1744-7607","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.3","0.6","4.2"," 108/285 "," 181/315 "
"CELL CYCLE","CELL CYCLE","1538-4101","1551-4005","CELL BIOLOGY - SCIE","4.3","0.59","4.5"," 93/191 "," 117/203 "
"Human Cell","HUM CELL","0914-7470","1749-0774","CELL BIOLOGY - SCIE","4.3","0.57","4.2"," 93/191 "," 121/203 "
"MOLECULAR AND CELLULAR BIOCHEMISTRY","MOL CELL BIOCHEM","0300-8177","1573-4919","CELL BIOLOGY - SCIE","4.3","0.56","3.6"," 93/191 "," 126/203 "
"ASTROBIOLOGY","ASTROBIOLOGY","1531-1074","1557-8070","BIOLOGY - SCIE","4.2","1","4.6"," 25/92 "," 23/111 "
"Biology-Basel","BIOLOGY-BASEL","N/A","2079-7737","BIOLOGY - SCIE","4.2","0.93","4.4"," 25/92 "," 25/111 "
"NEUROCHEMISTRY INTERNATIONAL","NEUROCHEM INT","0197-0186","1872-9754","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.2","0.87","4.3"," 111/285 "," 94/315 "
"MOLECULAR PHYLOGENETICS AND EVOLUTION","MOL PHYLOGENET EVOL","1055-7903","1095-9513","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.1","1.08","4"," 112/285 "," 63/315 "
"JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY","J STEROID BIOCHEM","0960-0760","1879-1220","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.1","0.82","4.2"," 112/285 "," 107/315 "
"MOLECULAR AND CELLULAR ENDOCRINOLOGY","MOL CELL ENDOCRINOL","0303-7207","1872-8057","CELL BIOLOGY - SCIE","4.1","0.74","4.1"," 99/191 "," 88/203 "
"RSC Medicinal Chemistry","RSC MED CHEM","N/A","2632-8682","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.1","0.72","4.1"," 112/285 "," 138/315 "
"Metabolites","METABOLITES","N/A","2218-1989","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.1","0.71","4.5"," 112/285 "," 143/315 "
"Tissue Engineering Part A","TISSUE ENG PT A","1937-3341","1937-335X","CELL BIOLOGY - SCIE","4.1","0.7","4.2"," 99/191 "," 96/203 "
"RNA Biology","RNA BIOL","1547-6286","1555-8584","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.1","0.69","5"," 112/285 "," 149/315 "
"CURRENT MEDICINAL CHEMISTRY","CURR MED CHEM","0929-8673","1875-533X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.1","0.62","4.6"," 112/285 "," 177/315 "
"BIOCHEMICAL JOURNAL","BIOCHEM J","0264-6021","1470-8728","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4.1","0.61","4.3"," 112/285 "," 178/315 "
"Journal of Cell Communication and Signaling","J CELL COMMUN SIGNAL","1873-9601","1873-961X","CELL BIOLOGY - SCIE","4.1","0.55","4.5"," 99/191 "," 129/203 "
"World Journal of Stem Cells","WORLD J STEM CELLS","1948-0210","1948-0210","CELL BIOLOGY - SCIE","4.1","0.53","4.5"," 99/191 "," 139/203 "
"Nucleic Acid Therapeutics","NUCLEIC ACID THER","2159-3337","2159-3345","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4","0.92","5.4"," 119/285 "," 82/315 "
"ACS Chemical Biology","ACS CHEM BIOL","1554-8929","1554-8937","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4","0.78","4.3"," 119/285 "," 116/315 "
"BIOESSAYS","BIOESSAYS","0265-9247","1521-1878","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4","0.75","4.1"," 119/285 "," 127/315 "
"BIOESSAYS","BIOESSAYS","0265-9247","1521-1878","BIOLOGY - SCIE","4","0.75","4.1"," 27/92 "," 40/111 "
"INTERNATIONAL JOURNAL OF BIOCHEMISTRY & CELL BIOLOGY","INT J BIOCHEM CELL B","1357-2725","1878-5875","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4","0.74","4.5"," 119/285 "," 131/315 "
"INTERNATIONAL JOURNAL OF BIOCHEMISTRY & CELL BIOLOGY","INT J BIOCHEM CELL B","1357-2725","1878-5875","CELL BIOLOGY - SCIE","4","0.74","4.5"," 103/191 "," 88/203 "
"JOURNAL OF CELLULAR BIOCHEMISTRY","J CELL BIOCHEM","0730-2312","1097-4644","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4","0.67","3.7"," 119/285 "," 157/315 "
"JOURNAL OF CELLULAR BIOCHEMISTRY","J CELL BIOCHEM","0730-2312","1097-4644","CELL BIOLOGY - SCIE","4","0.67","3.7"," 103/191 "," 99/203 "
"CELLULAR AND MOLECULAR NEUROBIOLOGY","CELL MOL NEUROBIOL","0272-4340","1573-6830","CELL BIOLOGY - SCIE","4","0.66","4.3"," 103/191 "," 100/203 "
"JOURNAL OF FOOD BIOCHEMISTRY","J FOOD BIOCHEM","0145-8884","1745-4514","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4","0.66","3.7"," 119/285 "," 161/315 "
"CURRENT OPINION IN GENETICS & DEVELOPMENT","CURR OPIN GENET DEV","0959-437X","1879-0380","CELL BIOLOGY - SCIE","4","0.63","4.9"," 103/191 "," 107/203 "
"IMMUNOLOGY AND CELL BIOLOGY","IMMUNOL CELL BIOL","0818-9641","1440-1711","CELL BIOLOGY - SCIE","4","0.61","4.5"," 103/191 "," 110/203 "
"JOURNAL OF CELL SCIENCE","J CELL SCI","0021-9533","1477-9137","CELL BIOLOGY - SCIE","4","0.6","4.6"," 103/191 "," 113/203 "
"BIOSCIENCE REPORTS","BIOSCIENCE REP","0144-8463","1573-4935","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4","0.57","4"," 119/285 "," 194/315 "
"BIOSCIENCE REPORTS","BIOSCIENCE REP","0144-8463","1573-4935","CELL BIOLOGY - SCIE","4","0.57","4"," 103/191 "," 121/203 "
"CELL CALCIUM","CELL CALCIUM","0143-4160","1532-1991","CELL BIOLOGY - SCIE","4","0.57","4.7"," 103/191 "," 121/203 "
"COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY","COMP BIOCHEM PHYS C","1532-0456","1878-1659","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.9","1.25","3.8"," 126/285 "," 46/315 "
"JOURNAL OF INORGANIC BIOCHEMISTRY","J INORG BIOCHEM","0162-0134","1873-3344","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.9","0.99","3.6"," 126/285 "," 71/315 "
"ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS","ARCH BIOCHEM BIOPHYS","0003-9861","1096-0384","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.9","0.82","4"," 126/285 "," 107/315 "
"ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS","ARCH BIOCHEM BIOPHYS","0003-9861","1096-0384","BIOPHYSICS - SCIE","3.9","0.82","4"," 17/70 "," 19/74 "
"BIOLOGICAL TRACE ELEMENT RESEARCH","BIOL TRACE ELEM RES","0163-4984","1559-0720","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.9","0.78","3.8"," 126/285 "," 116/315 "
"BIOCHIMIE","BIOCHIMIE","0300-9084","1638-6183","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.9","0.67","3.9"," 126/285 "," 157/315 "
"NITRIC OXIDE-BIOLOGY AND CHEMISTRY","NITRIC OXIDE-BIOL CH","1089-8603","1089-8611","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.9","0.66","3.9"," 126/285 "," 161/315 "
"NITRIC OXIDE-BIOLOGY AND CHEMISTRY","NITRIC OXIDE-BIOL CH","1089-8603","1089-8611","CELL BIOLOGY - SCIE","3.9","0.66","3.9"," 111/191 "," 100/203 "
"JOURNAL OF MOLECULAR EVOLUTION","J MOL EVOL","0022-2844","1432-1432","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.9","0.57","2.8"," 126/285 "," 194/315 "
"CELL BIOLOGY INTERNATIONAL","CELL BIOL INT","1065-6995","1095-8355","CELL BIOLOGY - SCIE","3.9","0.52","3.8"," 111/191 "," 143/203 "
"BIOCHEMICAL SOCIETY TRANSACTIONS","BIOCHEM SOC T","0300-5127","1470-8752","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.9","0.44","4.8"," 126/285 "," 245/315 "
"INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY","INSECT BIOCHEM MOLEC","0965-1748","1879-0240","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.8","1.33","4.4"," 134/285 "," 42/315 "
"BIOINORGANIC CHEMISTRY AND APPLICATIONS","BIOINORG CHEM APPL","1565-3633","1687-479X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.8","1","6.7"," 134/285 "," 70/315 "
"PHYTOCHEMISTRY","PHYTOCHEMISTRY","0031-9422","1873-3700","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.8","0.84","4"," 134/285 "," 104/315 "
"BIOPHYSICAL CHEMISTRY","BIOPHYS CHEM","0301-4622","1873-4200","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.8","0.69","2.6"," 134/285 "," 149/315 "
"BIOPHYSICAL CHEMISTRY","BIOPHYS CHEM","0301-4622","1873-4200","BIOPHYSICS - SCIE","3.8","0.69","2.6"," 18/70 "," 33/74 "
"REDOX REPORT","REDOX REP","1351-0002","1743-2928","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.8","0.69","3.8"," 134/285 "," 149/315 "
"CYTOKINE","CYTOKINE","1043-4666","1096-0023","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.8","0.65","3.7"," 134/285 "," 166/315 "
"CYTOKINE","CYTOKINE","1043-4666","1096-0023","CELL BIOLOGY - SCIE","3.8","0.65","3.7"," 113/191 "," 104/203 "
"BMB Reports","BMB REP","1976-6696","1976-670X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","3.8","0.56","4.5"," 134/285 "," 200/315 "
