Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
100,CELLULAR ONCOLOGY,"2,462",6.73,0.00243
101,PROTEIN SCIENCE,"16,581",6.725,0.02122
102,CELL BIOLOGY AND TOXICOLOGY,"2,298",6.691,0.00137
103,Frontiers in Cell and Developmental Biology,"7,731",6.684,0.01542
104,Cells,"18,802",6.6,0.02697
105,International Journal of Biological Sciences,"10,778",6.58,0.01054
106,Oxidative Medicine and Cellular Longevity,"27,913",6.543,0.03615
107,International Journal of Behavioral Nutrition and Physical Activity,"14,522",6.457,0.01881
108,Open Biology,"4,059",6.411,0.01028
109,Tissue Engineering Part B-Reviews,"4,536",6.389,0.00304
110,JOURNAL OF CELLULAR PHYSIOLOGY,"39,997",6.384,0.04183
111,MOLECULAR MEDICINE,"6,239",6.354,0.00446
112,Antioxidants,"9,076",6.312,0.00948
113,Acta Physiologica,"6,448",6.311,0.00687
114,STEM CELLS,"23,967",6.277,0.01786
115,Communications Biology,"4,996",6.268,0.01603
116,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY,"17,015",6.252,0.01274
117,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"56,921",6.237,0.05573
118,EXERCISE AND SPORT SCIENCES REVIEWS,"4,053",6.23,0.00277
119,Journal of Molecular Cell Biology,"3,144",6.216,0.0047
120,TRAFFIC,"7,808",6.215,0.00763
121,MOLECULAR ECOLOGY,"44,625",6.185,0.04047
122,HUMAN MOLECULAR GENETICS,"47,192",6.15,0.04752
123,BIOFACTORS,"5,004",6.113,0.00281
124,Biomedicines,"2,391",6.081,0.00365
125,JOURNAL OF NUTRITIONAL BIOCHEMISTRY,"14,446",6.048,0.01058
126,Science China-Life Sciences,"6,307",6.038,0.00696
127,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,"139,463",5.923,0.19543
128,JOURNAL OF LIPID RESEARCH,"28,376",5.922,0.01929
129,Bone & Joint Research,"2,142",5.853,0.00419
130,MOLECULAR CANCER RESEARCH,"11,253",5.852,0.01325
131,Wiley Interdisciplinary Reviews-Developmental Biology,"1,879",5.814,0.00386
132,CELLULAR & MOLECULAR BIOLOGY LETTERS,"2,216",5.787,0.00219
133,Journal of Cell Communication and Signaling,"1,796",5.782,0.00245
134,Disease Models & Mechanisms,"8,412",5.758,0.01259
135,Stem Cell Reviews and Reports,"3,488",5.739,0.0033
136,Cell Communication and Signaling,"4,383",5.712,0.00529
137,Aging-US,"13,864",5.682,0.01982
138,BIOLOGICAL RESEARCH,"2,563",5.612,0.00227
139,EXPERT REVIEWS IN MOLECULAR MEDICINE,"2,042",5.6,0.00079
140,CURRENT OPINION IN GENETICS & DEVELOPMENT,"8,648",5.578,0.0121
141,Reviews of Physiology Biochemistry and Pharmacology,865,5.545,0.00039
142,FEBS Journal,"23,493",5.542,0.02254
143,Nucleic Acid Therapeutics,"1,392",5.486,0.00307
144,Cancer & Metabolism,"1,259",5.469,0.0018
144,JOURNAL OF MOLECULAR BIOLOGY,"65,163",5.469,0.0384
146,AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY,"16,880",5.464,0.0141
147,Stem Cells International,"9,612",5.443,0.0156
148,MECHANISMS OF AGEING AND DEVELOPMENT,"7,302",5.432,0.00451
149,CYTOTHERAPY,"7,694",5.414,0.00694
150,BIOCHEMICAL SOCIETY TRANSACTIONS,"14,862",5.407,0.01435
151,Food & Function,"19,700",5.396,0.02155
152,BIOELECTROCHEMISTRY,"6,107",5.373,0.00487
153,JOURNAL OF NEUROCHEMISTRY,"40,281",5.372,0.01917
154,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"64,652",5.349,0.06107
155,World Journal of Stem Cells,"1,916",5.326,0.00216
156,JOURNAL OF CELLULAR AND MOLECULAR MEDICINE,"22,006",5.31,0.02253
157,JOURNAL OF CELL SCIENCE,"52,388",5.285,0.03874
158,BIOORGANIC CHEMISTRY,"10,576",5.275,0.01022
159,GENE THERAPY,"8,112",5.25,0.00413
160,CELL AND TISSUE RESEARCH,"15,506",5.249,0.01221
161,Frontiers in Molecular Biosciences,"3,140",5.246,0.00766
162,Cell Death Discovery,"2,469",5.241,0.00518
163,CHROMOSOME RESEARCH,"2,752",5.239,0.00225
164,CHEMICO-BIOLOGICAL INTERACTIONS,"16,208",5.192,0.01195
165,FASEB JOURNAL,"54,279",5.191,0.04439
166,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE,"20,194",5.187,0.0198
167,Current Opinion in Insect Science,"3,455",5.186,0.00861
168,JOURNAL OF PHYSIOLOGY-LONDON,"58,028",5.182,0.0346
169,JOURNAL OF BIOLOGICAL CHEMISTRY,"397,453",5.157,0.15542
170,Neural Regeneration Research,"7,769",5.135,0.0108
171,Cell Division,788,5.13,0.00079
172,IMMUNOLOGY AND CELL BIOLOGY,"5,812",5.126,0.00657
173,ACS Chemical Biology,"16,023",5.1,0.02949
174,HISTOPATHOLOGY,"13,171",5.087,0.0129
175,INTERNATIONAL JOURNAL OF BIOCHEMISTRY & CELL BIOLOGY,"19,050",5.085,0.01012
176,Biology-Basel,"2,726",5.079,0.00399
