Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
1	NATURE	"767209"	42.7781.216730
2	SCIENCE	"699842"	41.8451.022660
3	National Science Review	"2775"	16.6930.009760
4	Science Advances	"36380"	13.1160.172060
5	Nature Human Behaviour	"2457"	12.2820.014190
6	Nature Communications	"312599"	12.1211.259510
7	Science Bulletin	"5172"	9.5110.014150
8	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	"676425"	9.4120.931890
9	Journal of Advanced Research	"3564"	6.9920.005470
10	GigaScience	"4068"	5.9930.016410
11	Scientific Data	"5761"	5.5410.028720
12	Research Synthesis Methods	"2572"	5.2990.006440
13	ANNALS OF THE NEW YORK ACADEMY OF SCIENCES	"45596"	4.7280.026370
14	FRACTALS-COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY	"2156"	4.5360.002210
15	iScience	"1410"	4.4470.004140
16	GLOBAL CHALLENGES	4814.3060.001440
17	Scientific Reports	"386848"	3.9981.231180
18	JOURNAL OF KING SAUD UNIVERSITY SCIENCE	"1640"	3.8190.002020
19	Journal of the Royal Society Interface	"13762"	3.7480.027670
20	Frontiers in Bioengineering and Biotechnology	"2770"	3.6440.007650
21	NPJ Microgravity	3463.3800.001210
22	PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES	"20609"	3.2750.027840
23	PROCEEDINGS OF THE JAPAN ACADEMY SERIES B-PHYSICAL AND BIOLOGICAL SCIENCES	"1669"	3.0000.001980
24	Advanced Theory and Simulations	4322.9510.000700
25	SCIENCE AND ENGINEERING ETHICS	"2129"	2.7870.003760
26	PROCEEDINGS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES	"19218"	2.7410.018450
27	PLoS One	"688763"	2.7401.388860
28	Royal Society Open Science	"7222"	2.6470.027340
29	Symmetry-Basel	"4888"	2.6450.005390
30	INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS	"7115"	2.4690.007090
31	COMPLEXITY	"4413"	2.4620.007160
32	PeerJ	"17984"	2.3790.062850
33	MIT Technology Review	8712.3570.001810
34	Science of Nature	6732.0900.002400
35	SCIENCE PROGRESS	4991.9060.000340
36	SOUTH AFRICAN JOURNAL OF SCIENCE	"2631"	1.8660.001800
37	Journal of Taibah University for Science	"1126"	1.8630.001470
38	Journal of Radiation Research and Applied Sciences	"1127"	1.8040.002280
39	ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING	"5213"	1.7110.007080
40	SCIENTIFIC AMERICAN	"6539"	1.6290.003260
41	RENDICONTI LINCEI-SCIENZE FISICHE E NATURALI	9081.6030.001330
42	Proceedings of the Romanian Academy Series A-Mathematics Physics Technical Sciences Information Science	4061.2940.000690
43	ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS	"3451"	1.2800.004200
44	Frontiers in Life Science	3151.2730.000630
45	Jove-Journal of Visualized Experiments	"15933"	1.1630.034790
46	ISSUES IN SCIENCE AND TECHNOLOGY	4691.0000.000750
47	ADVANCES IN COMPLEX SYSTEMS	6220.9760.000380
48	SCIENTIST	3010.9390.000440
49	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES INDIA SECTION A-PHYSICAL SCIENCES	3990.9210.000610
50	Proceedings of the Estonian Academy of Sciences	5730.8830.000460
51	Iranian Journal of Science and Technology Transaction A-Science	7190.8750.000940
52	DISCRETE DYNAMICS IN NATURE AND SOCIETY	"1872"	0.8700.002570
53	JOURNAL OF THE ROYAL SOCIETY OF NEW ZEALAND	8480.8620.000420
54	JOURNAL OF THE INDIAN INSTITUTE OF SCIENCE	4190.7420.000380
55	TRANSACTIONS OF THE ROYAL SOCIETY OF SOUTH AUSTRALIA	4470.7330.000130
56	DEFENCE SCIENCE JOURNAL	"1041"	0.7300.000630
57	CURRENT SCIENCE	"10769"	0.7250.005650
58	AMERICAN SCIENTIST	"2428"	0.7100.001060
59	Sains Malaysiana	"1762"	0.6430.001600
60	Kuwait Journal of Science	2070.5190.000340
61	HERALD OF THE RUSSIAN ACADEMY OF SCIENCES	3290.4450.000230
62	SCIENCEASIA	6960.4250.000410
63	ACTA SCIENTIARUM-TECHNOLOGY	3720.4220.000400
64	NATIONAL ACADEMY SCIENCE LETTERS-INDIA	4910.4160.000510
65	JOURNAL OF THE NATIONAL SCIENCE FOUNDATION OF SRI LANKA	2850.3780.000230
66	COMPTES RENDUS DE L ACADEMIE BULGARE DES SCIENCES	6530.3430.000470
67	Maejo International Journal of Science and Technology	2150.3260.000180
68	Chiang Mai Journal of Science	5440.3250.000600
69	ENDEAVOUR	5700.3030.000430
70	NEW SCIENTIST	7970.2720.000860
71	INTERDISCIPLINARY SCIENCE REVIEWS	3000.1960.000150
