Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
91	MEDICAL MICROBIOLOGY AND IMMUNOLOGY	"1	911"	2.960	0.002760
92	INFLAMMATION	"4	515"	2.939	0.008200
93	INTERNATIONAL ARCHIVES OF ALLERGY AND IMMUNOLOGY	"5	054"	2.932	0.004420
94	ARCHIVUM IMMUNOLOGIAE ET THERAPIAE EXPERIMENTALIS	"1	873"	2.878	0.002400
95	JOURNAL OF NEUROIMMUNOLOGY	"10	184"	2.832	0.009550
96	IMMUNOBIOLOGY	"4	616"	2.798	0.007160
97	TUBERCULOSIS	"3	373"	2.790	0.006590
98	IMMUNOLOGY AND ALLERGY CLINICS OF NORTH AMERICA	"1	793"	2.788	0.002910
99	HLA	505	2.785	0.000750
100	PARASITE IMMUNOLOGY	"2	800"	2.755	0.003180
101	IMMUNOLOGICAL INVESTIGATIONS	"1	317"	2.687	0.001640
102	MICROBES AND INFECTION	"6	469"	2.669	0.004440
103	Allergy Asthma and Clinical Immunology	"1	195"	2.664	0.002760
104	Journal of Inflammation-London	"1	316"	2.662	0.001860
105	JOURNAL OF REPRODUCTIVE IMMUNOLOGY	"2	870"	2.654	0.003230
106	GENES AND IMMUNITY	"2	829"	2.631	0.003720
107	Transplantation Reviews	798	2.615	0.001890
108	IMMUNOLOGIC RESEARCH	"3	413"	2.610	0.006040
109	Human Vaccines & Immunotherapeutics	"5	467"	2.592	0.019690
110	MICROBIAL PATHOGENESIS	"5	253"	2.581	0.007450
111	SCANDINAVIAN JOURNAL OF IMMUNOLOGY	"4	095"	2.563	0.003600
112	IMMUNOLOGY LETTERS	"5	281"	2.552	0.007170
113	IMMUNOGENETICS	"3	243"	2.492	0.002760
114	Infectious Agents and Cancer	892	2.470	0.001910
115	JOURNAL OF MICROBIOLOGY IMMUNOLOGY AND INFECTION	"2	163"	2.455	0.003770
116	JOURNAL OF ANTIBIOTICS	"8	442"	2.446	0.005350
117	AUTOIMMUNITY	"2	293"	2.403	0.002570
118	FOOD AND AGRICULTURAL IMMUNOLOGY	"1	053"	2.398	0.001050
119	AIDS REVIEWS	647	2.357	0.001190
120	PEDIATRIC INFECTIOUS DISEASE JOURNAL	"11	681"	2.317	0.019500
121	APMIS	"3	842"	2.225	0.004560
122	HUMAN IMMUNOLOGY	"5	043"	2.202	0.006240
123	BMC IMMUNOLOGY	"1	903"	2.186	0.002790
124	Pathogens and Disease	"1	517"	2.182	0.005570
125	INTERNATIONAL JOURNAL OF IMMUNOPATHOLOGY AND PHARMACOLOGY	"2	048"	2.180	0.002220
126	Innate Immunity	"1	341"	2.173	0.002920
127	Transplant Infectious Disease	"2	691"	2.112	0.005570
128	IMMUNOPHARMACOLOGY AND IMMUNOTOXICOLOGY	"1	648"	2.086	0.001650
129	JOURNAL OF IMMUNOLOGICAL METHODS	"11	710"	1.913	0.007870
130	EUROPEAN CYTOKINE NETWORK	"1	138"	1.875	0.000620
131	COMPARATIVE IMMUNOLOGY MICROBIOLOGY AND INFECTIOUS DISEASES	"1	609"	1.871	0.002040
132	VETERINARY IMMUNOLOGY AND IMMUNOPATHOLOGY	"6	232"	1.846	0.004760
133	AIDS RESEARCH AND HUMAN RETROVIRUSES	"4	009"	1.805	0.007780
134	JOURNAL OF INTERFERON AND CYTOKINE RESEARCH	"3	360"	1.774	0.003850
135	ASIAN PACIFIC JOURNAL OF ALLERGY AND IMMUNOLOGY	752	1.747	0.001040
136	ALLERGOLOGIA ET IMMUNOPATHOLOGIA	"1	157"	1.640	0.001830
137	JOURNAL OF BIOLOGICAL REGULATORS AND HOMEOSTATIC AGENTS	"1	759"	1.558	0.002530
138	TRANSPLANT IMMUNOLOGY	"1	208"	1.531	0.001650
139	INTERNATIONAL JOURNAL OF STD & AIDS	"2	984"	1.501	0.006510
140	Central European Journal of Immunology	539	1.455	0.001300
141	MICROBIOLOGY AND IMMUNOLOGY	"2	935"	1.442	0.002250
142	VIRAL IMMUNOLOGY	"1	328"	1.417	0.001900
143	NEUROIMMUNOMODULATION	"1	409"	1.351	0.001330
144	INDIAN JOURNAL OF MEDICAL RESEARCH	"6	063"	1.251	0.005920
145	Iranian Journal of Allergy Asthma and Immunology	715	1.222	0.001120
146	CRITICAL REVIEWS IN IMMUNOLOGY	"1	231"	1.191	0.001170
147	CURRENT HIV RESEARCH	981	1.115	0.001800
148	Endocrine Metabolic & Immune Disorders-Drug Targets	783	1.104	0.000940
149	ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA	371	1.079	0.000490
150	International Journal of Immunogenetics	773	1.031	0.001020
151	TRANSFUSION CLINIQUE ET BIOLOGIQUE	516	1.029	0.000540
152	ISJ-Invertebrate Survival Journal	467	0.967	0.000520
153	TRANSPLANTATION PROCEEDINGS	"12	748"	0.959	0.011730
154	Indian Journal of Medical Microbiology	"1	480"	0.950	0.001660
155	Iranian Journal of Immunology	300	0.937	0.000410
156	European Journal of Inflammation	197	0.733	0.000290
157	LYMPHOLOGY	813	0.674	0.001000
158	Pediatric Allergy Immunology and Pulmonology	214	0.551	0.000570
Copyright © 2019 Clarivate Analytics				
"By exporting the selected data	 you agree to the data usage policy set forth in the Terms of Use"				
