Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
101	PRENATAL DIAGNOSIS	"5754"	2.434	0.011300
102	MAMMALIAN GENOME	"2715"	2.343	0.003410
103	BEHAVIOR GENETICS	"3084"	2.313	0.003990
104	International Journal of Genomics	740	2.303	0.002170
105	CONSERVATION GENETICS	"4117"	2.283	0.005170
106	MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS	"6318"	2.256	0.003920
107	ANIMAL GENETICS	"3387"	2.244	0.004100
108	CURRENT GENE THERAPY	"1200"	2.218	0.001790
109	Familial Cancer	"1678"	2.209	0.004220
110	AMERICAN JOURNAL OF MEDICAL GENETICS PART A	"11571"	2.197	0.021500
111	CHROMOSOME RESEARCH	"2291"	2.183	0.002660
111	Cancer Genetics	"1094"	2.183	0.003290
113	CURRENT GENOMICS	"2027"	2.174	0.002180
114	GENOME	"4264"	2.152	0.002730
115	GENETICS AND MOLECULAR BIOLOGY	"2526"	2.127	0.002680
116	Human Gene Therapy Methods	410	2.089	0.001220
117	European Journal of Medical Genetics	"2126"	2.022	0.005260
118	MUTATION RESEARCH-FUNDAMENTAL AND MOLECULAR MECHANISMS OF MUTAGENESIS	"7025"	2.011	0.003490
119	Journal of Nutrigenetics and Nutrigenomics	348	1.943	0.000640
120	BIOCHEMICAL GENETICS	"1179"	1.931	0.000960
121	GENES TO CELLS	"3980"	1.922	0.004540
122	Marine Genomics	948	1.904	0.002510
123	MOLECULAR BREEDING	"5159"	1.862	0.007070
123	Tree Genetics & Genomes	"2499"	1.862	0.004640
125	Molecular Genetics and Metabolism Reports	507	1.845	0.001650
126	CRITICAL REVIEWS IN EUKARYOTIC GENE EXPRESSION	921	1.841	0.000720
127	EVOLUTION & DEVELOPMENT	"1822"	1.820	0.001810
128	JOURNAL OF MOLECULAR EVOLUTION	"7623"	1.782	0.002180
129	BMC Medical Genetics	"2951"	1.740	0.005300
129	GENESIS	"4174"	1.740	0.004490
131	JOURNAL OF APPLIED GENETICS	"1249"	1.725	0.001980
132	JOURNAL OF NEUROGENETICS	731	1.698	0.001270
133	VIRUS GENES	"2482"	1.616	0.003470
134	BIRTH DEFECTS RESEARCH PART B-DEVELOPMENTAL AND REPRODUCTIVE TOXICOLOGY	857	1.600	0.000500
135	JOURNAL OF GENE MEDICINE	"1868"	1.561	0.001040
136	THEORETICAL POPULATION BIOLOGY	"3847"	1.559	0.002470
137	Public Health Genomics	652	1.527	0.001440
138	Standards in Genomic Sciences	"1267"	1.458	0.002660
139	Cellular Reprogramming	674	1.453	0.001200
140	CYTOGENETIC AND GENOME RESEARCH	"2802"	1.423	0.003070
141	PSYCHIATRIC GENETICS	920	1.375	0.001180
142	NEW GENETICS AND SOCIETY	380	1.353	0.000490
143	Molecular Cytogenetics	802	1.331	0.002250
144	ANNALS OF HUMAN GENETICS	"1897"	1.319	0.001400
145	OPHTHALMIC GENETICS	857	1.285	0.001340
146	GENETICA	"3039"	1.229	0.001680
147	CARYOLOGIA	"1007"	1.174	0.000630
148	Twin Research and Human Genetics	"1794"	1.159	0.004370
149	Conservation Genetics Resources	"1850"	1.154	0.001840
149	GENE EXPRESSION PATTERNS	"1442"	1.154	0.001250
151	Genetic Testing and Molecular Biomarkers	"1356"	1.121	0.002380
152	HUMAN BIOLOGY	"1828"	1.061	0.000940
153	International Journal of Immunogenetics	773	1.031	0.001020
154	CYTOLOGIA	"1117"	0.922	0.000260
155	HEREDITAS	"1576"	0.896	0.000380
156	Comparative Cytogenetics	333	0.882	0.000770
157	GENES & GENETIC SYSTEMS	816	0.859	0.000660
158	EVOLUTIONARY ECOLOGY RESEARCH	"1707"	0.843	0.000680
159	JOURNAL OF GENETICS	"1555"	0.825	0.002020
160	Balkan Journal of Medical Genetics	142	0.769	0.000250
161	CLINICAL DYSMORPHOLOGY	509	0.760	0.000570
162	Genes & Genomics	574	0.759	0.001050
163	SILVAE GENETICA	864	0.741	0.000230
164	Genetics Research	"1951"	0.700	0.000250
165	Mitochondrial DNA Part A	"1278"	0.566	0.003720
166	Mitochondrial DNA Part B-Resources	572	0.561	0.000950
167	RUSSIAN JOURNAL OF GENETICS	"1661"	0.559	0.001320
168	HUMAN HEREDITY	914	0.556	0.001450
169	Genetika-Belgrade	368	0.459	0.000500
170	Cytology and Genetics	271	0.408	0.000260
171	INTERNATIONAL JOURNAL OF HUMAN GENETICS	125	0.265	0.000070
172	Medizinische Genetik	28	0.104	0.000020
173	Circulation-Genomic and Precision Medicine	114	Not Available	0.000000
173	Lifestyle Genomics	5	Not Available	0.000000
