Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
1	Journal of Statistical Software	"25372"	13.642	0.053040
2	Annual Review of Statistics and Its Application	515	5.095	0.004250
3	ECONOMETRICA	"35846"	3.992	0.040750
4	JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION	"36843"	3.989	0.032370
5	JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY	"25492"	3.965	0.018040
6	STATISTICAL SCIENCE	"6545"	3.583	0.007500
7	R Journal	"1811"	3.312	0.007320
8	FUZZY SETS AND SYSTEMS	"17605"	3.305	0.008740
9	BIOSTATISTICS	"4048"	3.098	0.006780
10	STATISTICS AND COMPUTING	"4519"	3.035	0.011050
11	IEEE-ACM Transactions on Computational Biology and Bioinformatics	"3542"	3.015	0.006930
12	JOURNAL OF BUSINESS & ECONOMIC STATISTICS	"5921"	2.935	0.008680
13	CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS	"9421"	2.895	0.007790
14	MULTIVARIATE BEHAVIORAL RESEARCH	"7112"	2.750	0.007880
15	INTERNATIONAL STATISTICAL REVIEW	"1807"	2.740	0.002560
16	Bayesian Analysis	"2000"	2.696	0.006600
17	ANNALS OF STATISTICS	"21466"	2.650	0.027080
18	PROBABILISTIC ENGINEERING MECHANICS	"2689"	2.411	0.002430
19	BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY	"1965"	2.388	0.003480
20	ANNALS OF PROBABILITY	"5892"	2.377	0.017230
21	STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT	"4272"	2.351	0.006810
22	JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS	"4369"	2.319	0.008900
23	STATISTICAL METHODS IN MEDICAL RESEARCH	"4647"	2.291	0.011850
24	Quality Technology and Quantitative Management	538	2.231	0.000830
25	JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY	"3234"	2.210	0.005010
26	Econometrics Journal	966	2.139	0.002350
27	PROBABILITY THEORY AND RELATED FIELDS	"3673"	2.125	0.013710
28	TECHNOMETRICS	"8759"	2.091	0.003590
29	FINANCE AND STOCHASTICS	"1235"	2.048	0.003520
30	JOURNAL OF QUALITY TECHNOLOGY	"2648"	2.019	0.001440
31	Stata Journal	"4673"	1.990	0.005930
