Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
98	BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL RESEARCH	"16440"	4.739	0.03002
98	FEBS Journal	"18035"	4.739	0.03318
100	Computational and Structural Biotechnology Journal	"1363"	4.72	0.00481
101	Stem Cell Reviews and Reports	"2436"	4.697	0.00469
102	Biomolecules	"2274"	4.694	0.0083
103	Journal of Molecular Cell Biology	"1895"	4.671	0.00492
104	JOURNAL OF CELLULAR AND MOLECULAR MEDICINE	"12391"	4.658	0.01576
105	Journal of Genetics and Genomics	"2005"	4.65	0.00474
106	Stem Cell Research & Therapy	"6132"	4.627	0.01581
107	Cell Discovery	717	4.6	0.00369
108	Biochimica et Biophysica Acta-Gene Regulatory Mechanisms	"7096"	4.599	0.01558
109	STRUCTURE	"14722"	4.576	0.03171
110	HUMAN MOLECULAR GENETICS	"39859"	4.544	0.06919
111	JOURNAL OF CELLULAR PHYSIOLOGY	"20046"	4.522	0.01858
112	Antioxidants	882	4.52	0.00169
113	JOURNAL OF CELL SCIENCE	"42443"	4.517	0.05397
114	JOURNAL OF NUTRITIONAL BIOCHEMISTRY	"10544"	4.49	0.0127
115	MOLECULAR CANCER RESEARCH	"7899"	4.484	0.0138
116	BIOELECTROCHEMISTRY	"4476"	4.474	0.00405
117	BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS	"12823"	4.441	0.01716
118	EXPERT REVIEWS IN MOLECULAR MEDICINE	"1758"	4.407	0.00145
119	BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS	"9688"	4.402	0.01808
120	BIOESSAYS	"9911"	4.396	0.01674
121	ACS Chemical Biology	"11691"	4.374	0.03693
122	BIOCONJUGATE CHEMISTRY	"15840"	4.349	0.02024
123	AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY	"12166"	4.34	0.01611
124	BIOCHEMICAL JOURNAL	"46764"	4.331	0.03042
125	BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE	"14373"	4.328	0.02484
126	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	"53240"	4.304	0.07966
127	CYTOTHERAPY	"5969"	4.297	0.00969
128	BIOCHEMICAL SOCIETY TRANSACTIONS	"12535"	4.291	0.01872
129	CELLULAR MICROBIOLOGY	"9048"	4.288	0.01325
130	ADDICTION BIOLOGY	"4055"	4.223	0.00882
131	GLYCOBIOLOGY	"7752"	4.194	0.00898
132	INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES	"53148"	4.183	0.11488
133	Epigenetics	"5480"	4.173	0.0134
134	Pigment Cell & Melanoma Research	"4249"	4.172	0.00634
135	Advances in Microbial Physiology	"1164"	4.12	0.00078
136	JOURNAL OF BIOLOGICAL CHEMISTRY	"357146"	4.106	0.25228
137	Geobiology	"2204"	4.1	0.00446
138	International Journal of Biological Sciences	"4985"	4.067	0.00813
138	JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY	"11125"	4.067	0.01216
140	Cell Division	565	4.056	0.00064
141	Disease Models & Mechanisms	"5133"	4.028	0.01393
142	JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY	"4637"	4.027	0.00573
143	APOPTOSIS	"6511"	4.021	0.00705
144	JOURNAL OF LEUKOCYTE BIOLOGY	"16921"	4.012	0.01957
145	Skeletal Muscle	"1085"	4	0.00302
146	NEUROCHEMISTRY INTERNATIONAL	"8775"	3.994	0.00902
147	MOLECULAR PHYLOGENETICS AND EVOLUTION	"19188"	3.992	0.02846
148	TRAFFIC	"6603"	3.951	0.00894
149	RNA	"13106"	3.949	0.02674
150	IMMUNOLOGY AND CELL BIOLOGY	"5452"	3.947	0.00882
151	CELL CALCIUM	"5205"	3.932	0.00634
152	PLANT AND CELL PHYSIOLOGY	"16107"	3.929	0.01821
152	Stem Cell Research	"3077"	3.929	0.00841
154	PLANT MOLECULAR BIOLOGY	"14112"	3.928	0.00962
155	BIOORGANIC CHEMISTRY	"3047"	3.926	0.00385
156	MOLECULAR BIOLOGY OF THE CELL	"29948"	3.905	0.04331
157	CURRENT MEDICINAL CHEMISTRY	"16061"	3.894	0.01455
158	Open Biology	"2316"	3.89	0.01015
159	BIOLOGY OF THE CELL	"2269"	3.863	0.00205
160	ACS Chemical Neuroscience	"5238"	3.861	0.01332
161	Journal of Integrative Plant Biology	"4282"	3.824	0.00664
162	CELLULAR AND MOLECULAR NEUROBIOLOGY	"4488"	3.811	0.00574
163	BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES	"18087"	3.79	0.02193
164	International Review of Cell and Molecular Biology	"1916"	3.788	0.0048
165	JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY	"11066"	3.785	0.01363
165	PLANT SCIENCE	"14435"	3.785	0.0131
167	Current Opinion in Insect Science	"1563"	3.784	0.00637
168	Advances in Protein Chemistry and Structural Biology	729	3.783	0.00156
169	METHODS	"21871"	3.782	0.0257
170	Nucleic Acid Therapeutics	854	3.78	0.003
171	ASTROBIOLOGY	"3625"	3.768	0.00534
172	JOURNAL OF STRUCTURAL BIOLOGY	"10153"	3.754	0.02419
173	GENE THERAPY	"7223"	3.749	0.00704
174	MOLECULAR AND CELLULAR BIOLOGY	"53856"	3.735	0.03398
175	MOLECULAR AND CELLULAR ENDOCRINOLOGY	"15665"	3.693	0.02078
176	Journal of Cell Communication and Signaling	"1026"	3.691	0.00157
177	BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS	"15074"	3.681	0.02542
178	EUROPEAN JOURNAL OF HUMAN GENETICS	"9874"	3.65	0.0235
179	MOLECULAR MICROBIOLOGY	"34724"	3.649	0.03072
179	MOLECULAR PLANT-MICROBE INTERACTIONS	"11283"	3.649	0.00896
181	JOURNAL OF BIOLOGICAL INORGANIC CHEMISTRY	"4310"	3.632	0.00487
