Journal name	ISSN	eISSN	Category	Total Citations	2020 JIF	JIF Quartile	2020 JCI	% of OA Gold
Annals of Applied Statistics	1932-61571941-7330	"STATISTICS & PROBABILITY - SCIE"	"4580"	2.083	"Q2"	0.860.00%	
Spatial Statistics	2211-6753	N/A	"STATISTICS & PROBABILITY - SCIE"	"923"	2.060	"Q2"	0.674.38%	
STATISTICAL MODELLING	1471-082X	1477-0342	"STATISTICS & PROBABILITY - SCIE"	"954"	2.039	"Q2"	0.856.67%	
Journal of Survey Statistics and Methodology	2325-09842325-0992	"STATISTICS & PROBABILITY - SCIE"	"245"	1.957	"Q2"	0.8512.50%	
INSURANCE MATHEMATICS & ECONOMICS	0167-66871873-5959	"STATISTICS & PROBABILITY - SCIE"	"4863"	1.933	"Q2"	0.775.37%	
ENVIRONMETRICS	1180-40091099-095X	"STATISTICS & PROBABILITY - SCIE"	"2311"	1.900	"Q2"	0.585.81%	
PHARMACEUTICAL STATISTICS	1539-16041539-1612	"STATISTICS & PROBABILITY - SCIE"	"1840"	1.894	"Q2"	0.6810.96%	
ANNALS OF APPLIED PROBABILITY	1050-5164	N/A	"STATISTICS & PROBABILITY - SCIE"	"4008"	1.872	"Q2"	0.850.00%	
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS	0035-92541467-9876	"STATISTICS & PROBABILITY - SCIE"	"5341"	1.864	"Q2"	0.9020.74%	
ANNALES DE L INSTITUT HENRI POINCARE-PROBABILITES ET STATISTIQUES	0246-0203	N/A	"STATISTICS & PROBABILITY - SCIE"	"1879"	1.851	"Q2"	0.740.00%	
OXFORD BULLETIN OF ECONOMICS AND STATISTICS	0305-90491468-0084	"STATISTICS & PROBABILITY - SCIE"	"4871"	1.791	"Q2"	0.6913.07%	
Scandinavian Actuarial Journal	0346-12381651-2030	"STATISTICS & PROBABILITY - SCIE"	"1082"	1.741	"Q2"	0.774.05%	
Econometric Reviews	0747-49381532-4168	"STATISTICS & PROBABILITY - SCIE"	"2188"	1.718	"Q2"	0.678.47%	
COMPUTATIONAL STATISTICS & DATA ANALYSIS	0167-94731872-7352	"STATISTICS & PROBABILITY - SCIE"	"11144"	1.681	"Q2"	0.574.19%	
Stochastics and Partial Differential Equations-Analysis and Computations	2194-04012194-041X	"STATISTICS & PROBABILITY - SCIE"	"368"	1.641	"Q2"	0.7226.83%	
BERNOULLI	1350-72651573-9759	"STATISTICS & PROBABILITY - SCIE"	"3186"	1.595	"Q2"	0.790.00%	
LIFETIME DATA ANALYSIS	1380-78701572-9249	"STATISTICS & PROBABILITY - SCIE"	"1182"	1.588	"Q2"	0.597.14%	
STOCHASTIC ANALYSIS AND APPLICATIONS	0736-29941532-9356	"STATISTICS & PROBABILITY - SCIE"	"1240"	1.530	"Q2"	0.643.29%	
JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS	1085-71171537-2693	"STATISTICS & PROBABILITY - SCIE"	"1330"	1.524	"Q2"	0.6419.23%	
Astin Bulletin	0515-03611783-1350	"STATISTICS & PROBABILITY - SCIE"	"1167"	1.479	"Q2"	0.595.56%	
JOURNAL OF COMPUTATIONAL BIOLOGY	1066-52771557-8666	"STATISTICS & PROBABILITY - SCIE"	"5823"	1.479	"Q2"	0.426.76%	
JOURNAL OF MULTIVARIATE ANALYSIS	0047-259X	N/A	"STATISTICS & PROBABILITY - SCIE"	"6401"	1.473	"Q3"	0.681.84%	
STOCHASTIC PROCESSES AND THEIR APPLICATIONS	0304-41491879-209X	"STATISTICS & PROBABILITY - SCIE"	"6387"	1.467	"Q3"	0.702.56%	
Statistics in Biopharmaceutical Research	1946-63151946-6315	"STATISTICS & PROBABILITY - SCIE"	"609"	1.452	"Q3"	0.433.30%	
JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION	0094-96551563-5163	"STATISTICS & PROBABILITY - SCIE"	"4004"	1.424	"Q3"	0.420.98%	
Extremes	1386-19991572-915X	"STATISTICS & PROBABILITY - SCIE"	"763"	1.407	"Q3"	0.6025.51%	
JOURNAL OF APPLIED STATISTICS	0266-47631360-0532	"STATISTICS & PROBABILITY - SCIE"	"4015"	1.404	"Q3"	0.581.67%	
SCANDINAVIAN JOURNAL OF STATISTICS	0303-68981467-9469	"STATISTICS & PROBABILITY - SCIE"	"4366"	1.396	"Q3"	0.5713.93%	
JOURNAL OF TIME SERIES ANALYSIS	0143-97821467-9892	"STATISTICS & PROBABILITY - SCIE"	"2530"	1.366	"Q3"	0.517.69%	
APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY	1524-19041526-4025	"STATISTICS & PROBABILITY - SCIE"	"1359"	1.338	"Q3"	0.502.36%	
Statistical Methods and Applications	1618-25101613-981X	"STATISTICS & PROBABILITY - SCIE"	"603"	1.314	"Q3"	0.498.61%	
PROBABILITY IN THE ENGINEERING AND INFORMATIONAL SCIENCES	0269-96481469-8951	"STATISTICS & PROBABILITY - SCIE"	"668"	1.269	"Q3"	0.353.03%	
ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS	0020-31571572-9052	"STATISTICS & PROBABILITY - SCIE"	"2354"	1.267	"Q3"	0.530.00%	
STATISTICA SINICA	1017-04051996-8507	"STATISTICS & PROBABILITY - SCIE"	"4197"	1.261	"Q3"	0.510.00%	
REVSTAT-Statistical Journal	1645-6726	N/A	"STATISTICS & PROBABILITY - SCIE"	"385"	1.250	"Q3"	0.370.00%	
JOURNAL OF NONPARAMETRIC STATISTICS	1048-52521029-0311	"STATISTICS & PROBABILITY - SCIE"	"1149"	1.231	"Q3"	0.450.76%	
STATISTICA NEERLANDICA	0039-04021467-9574	"STATISTICS & PROBABILITY - SCIE"	"955"	1.190	"Q3"	0.4723.71%	
SORT-Statistics and Operations Research Transactions	1696-22812013-8830	"STATISTICS & PROBABILITY - SCIE"	"259"	1.185	"Q3"	0.350.00%	
AStA-Advances in Statistical Analysis	1863-81711863-818X	"STATISTICS & PROBABILITY - SCIE"	"501"	1.160	"Q3"	0.579.89%	
ELECTRONIC JOURNAL OF PROBABILITY	1083-64891083-6489	"STATISTICS & PROBABILITY - SCIE"	"2131"	1.151	"Q3"	0.4782.92%	
METHODOLOGY AND COMPUTING IN APPLIED PROBABILITY	1387-58411573-7713	"STATISTICS & PROBABILITY - SCIE"	"853"	1.147	"Q3"	0.4711.47%	
Electronic Journal of Statistics	1935-75241935-7524	"STATISTICS & PROBABILITY - SCIE"	"2472"	1.125	"Q3"	0.4984.54%	
Random Matrices-Theory and Applications	2010-32632010-3271	"STATISTICS & PROBABILITY - SCIE"	"280"	1.121	"Q3"	0.503.33%	
ENVIRONMENTAL AND ECOLOGICAL STATISTICS	1352-85051573-3009	"STATISTICS & PROBABILITY - SCIE"	"1060"	1.119	"Q3"	0.355.13%	
COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION	0361-09181532-4141	"STATISTICS & PROBABILITY - SCIE"	"3773"	1.118	"Q3"	0.410.66%	
JOURNAL OF STATISTICAL PLANNING AND INFERENCE	0378-37581873-1171	"STATISTICS & PROBABILITY - SCIE"	"5619"	1.111	"Q3"	0.481.59%	
LAW PROBABILITY & RISK	1470-83961470-840X	"STATISTICS & PROBABILITY - SCIE"	"284"	1.059	"Q3"	0.696.52%	
METRIKA	0026-13351435-926X	"STATISTICS & PROBABILITY - SCIE"	"1231"	1.057	"Q3"	0.445.92%	
Journal of Biopharmaceutical Statistics	1054-34061520-5711	"STATISTICS & PROBABILITY - SCIE"	"1663"	1.051	"Q3"	0.361.18%	
STATISTICS	0233-18881029-4910	"STATISTICS & PROBABILITY - SCIE"	"1141"	1.051	"Q3"	0.380.49%	
Statistical Analysis and Data Mining	1932-18641932-1872	"STATISTICS & PROBABILITY - SCIE"	"626"	1.051	"Q3"	0.407.34%	
JOURNAL OF APPLIED PROBABILITY	0021-90021475-6072	"STATISTICS & PROBABILITY - SCIE"	"3700"	1.042	"Q4"	0.360.00%	
COMBINATORICS PROBABILITY & COMPUTING	0963-54831469-2163	"STATISTICS & PROBABILITY - SCIE"	"1216"	1.032	"Q4"	0.663.50%	
COMPUTATIONAL STATISTICS	0943-40621613-9658	"STATISTICS & PROBABILITY - SCIE"	"1603"	1.000	"Q4"	0.4410.89%	
Brazilian Journal of Probability and Statistics	0103-07520103-0752	"STATISTICS & PROBABILITY - SCIE"	"389"	0.988	"Q4"	0.340.00%	
Stochastics and Dynamics	0219-49371793-6799	"STATISTICS & PROBABILITY - SCIE"	"705"	0.980	"Q4"	0.390.00%	
OPEN SYSTEMS & INFORMATION DYNAMICS	1230-16121793-7191	"STATISTICS & PROBABILITY - SCIE"	"461"	0.977	"Q4"	0.670.00%	
International Journal of Biostatistics	2194-573X	1557-4679	"STATISTICS & PROBABILITY - SCIE"	"734"	0.968	"Q4"	0.261.89%	
Stochastics-An International Journal of Probability and Stochastic Processes	1744-25081744-2516	"STATISTICS & PROBABILITY - SCIE"	"910"	0.935	"Q4"	0.460.98%	
Hacettepe Journal of Mathematics and Statistics	N/A	2651-477X	"STATISTICS & PROBABILITY - SCIE"	"1120"	0.929	"Q4"	0.580.00%	
Sequential Analysis-Design Methods and Applications	0747-49461532-4176	"STATISTICS & PROBABILITY - SCIE"	"417"	0.927	"Q4"	0.333.70%	
Journal of Official Statistics	0282-423X	0282-423X	"STATISTICS & PROBABILITY - SCIE"	"1326"	0.920	"Q4"	0.4199.12%	
Stat	2049-15732049-1573	"STATISTICS & PROBABILITY - SCIE"	"342"	0.917	"Q4"	0.358.39%	
COMMUNICATIONS IN STATISTICS-THEORY AND METHODS	0361-09261532-415X	"STATISTICS & PROBABILITY - SCIE"	"7018"	0.893	"Q4"	0.361.01%	
JOURNAL OF THEORETICAL PROBABILITY	0894-98401572-9230	"STATISTICS & PROBABILITY - SCIE"	"1188"	0.888	"Q4"	0.3815.48%	
CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE	0319-57241708-945X	"STATISTICS & PROBABILITY - SCIE"	"1569"	0.875	"Q4"	0.353.03%	
STATISTICS & PROBABILITY LETTERS	0167-71521879-2103	"STATISTICS & PROBABILITY - SCIE"	"5547"	0.870	"Q4"	0.401.14%	
Journal of the Korean Statistical Society	1226-31922005-2863	"STATISTICS & PROBABILITY - SCIE"	"500"	0.805	"Q4"	0.321.11%	
INFINITE DIMENSIONAL ANALYSIS QUANTUM PROBABILITY AND RELATED TOPICS	0219-02571793-6306	"STATISTICS & PROBABILITY - SCIE"	"1004"	0.793	"Q4"	0.311.16%	
ELECTRONIC COMMUNICATIONS IN PROBABILITY	1083-589X	1083-589X	"STATISTICS & PROBABILITY - SCIE"	"1005"	0.782	"Q4"	0.3088.76%	
THEORY OF PROBABILITY AND ITS APPLICATIONS	0040-585X	1095-7219	"STATISTICS & PROBABILITY - SCIE"	"1893"	0.773	"Q4"	0.330.00%	
ESAIM-Probability and Statistics	1292-81001262-3318	"STATISTICS & PROBABILITY - SCIE"	"400"	0.745	"Q4"	0.3335.42%	
ALEA-Latin American Journal of Probability and Mathematical Statistics	1980-0436	N/A	"STATISTICS & PROBABILITY - SCIE"	"385"	0.720	"Q4"	0.280.00%	
Mathematical Population Studies	0889-84801547-724X	"STATISTICS & PROBABILITY - SCIE"	"216"	0.720	"Q4"	0.340.00%	
ADVANCES IN APPLIED PROBABILITY	0001-86781475-6064	"STATISTICS & PROBABILITY - SCIE"	"2331"	0.690	"Q4"	0.390.00%	
STOCHASTIC MODELS	1532-63491532-4214	"STATISTICS & PROBABILITY - SCIE"	"533"	0.652	"Q4"	0.3110.84%	
AUSTRALIAN & NEW ZEALAND JOURNAL OF STATISTICS	1369-14731467-842X	"STATISTICS & PROBABILITY - SCIE"	"809"	0.640	"Q4"	0.340.00%	
Probability and Mathematical Statistics-Poland	0208-4147	N/A	"STATISTICS & PROBABILITY - SCIE"	"345"	0.560	"Q4"	0.270.00%	
Markov Processes and Related Fields	1024-29531024-2953	"STATISTICS & PROBABILITY - SCIE"	"328"	0.556	"Q4"	0.200.00%	
INTERNATIONAL JOURNAL OF GAME THEORY	0020-72761432-1270	"STATISTICS & PROBABILITY - SCIE"	"1653"	0.462	"Q4"	0.2617.96%	
Statistical Applications in Genetics and Molecular Biology	2194-63021544-6115	"STATISTICS & PROBABILITY - SCIE"	"1718"	0.419	"Q4"	0.173.57%	
Survey Methodology	0714-0045	N/A	"STATISTICS & PROBABILITY - SCIE"	"908"	0.378	"Q4"	0.190.00%	
UTILITAS MATHEMATICA	0315-3681	N/A	"STATISTICS & PROBABILITY - SCIE"	"648"	0.279	"Q4"	0.130.00%	
Journal of Reliability and Statistical Studies	0974-80242229-5666	"STATISTICS & PROBABILITY - ESCI"	"68"	n/a	"n/a"	0.140.00%	
Journal of Statistical Theory and Applications	1538-78871538-7887	"STATISTICS & PROBABILITY - ESCI"	"273"	n/a	"n/a"	0.25100.00%	
Statistical Inference for Stochastic Processes	1387-08741572-9311	"STATISTICS & PROBABILITY - ESCI"	"106"	n/a	"n/a"	0.539.09%	
JIRSS-Journal of the Iranian Statistical Society	1726-40572538-189X	"STATISTICS & PROBABILITY - ESCI"	"87"	n/a	"n/a"	0.150.00%	
Theory of Probability and Mathematical Statistics	0094-90001547-7363	"STATISTICS & PROBABILITY - ESCI"	"78"	n/a	"n/a"	0.190.00%	
Electronic Journal of Applied Statistical Analysis	2070-59482070-5948	"STATISTICS & PROBABILITY - ESCI"	"229"	n/a	"n/a"	0.350.00%	
Pakistan Journal of Statistics and Operation Research	1816-27112220-5810	"STATISTICS & PROBABILITY - ESCI"	"475"	n/a	"n/a"	0.5454.59%	
Communications for Statistical Applications and Methods	2287-78432383-4757	"STATISTICS & PROBABILITY - ESCI"	"252"	n/a	"n/a"	0.210.00%	
Sankhya-Series A-Mathematical Statistics and Probability	0976-836X	0976-8378	"STATISTICS & PROBABILITY - ESCI"	"710"	n/a	"n/a"	0.315.94%	
Wiley Interdisciplinary Reviews-Computational Statistics	1939-00681939-0068	"STATISTICS & PROBABILITY - ESCI"	"2014"	n/a	"n/a"	0.598.33%	
Sankhya-Series B-Applied and Interdisciplinary Statistics	0976-83860976-8394	"STATISTICS & PROBABILITY - ESCI"	"357"	n/a	"n/a"	0.295.81%	
