Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"International Journal on Document Analysis and Recognition","INT J DOC ANAL RECOG","1433-2833","1433-2825","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2.3","0.47","2.6"," 105/145 "," 121/192 "
"Algorithms","ALGORITHMS","N/A","1999-4893","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","2.3","0.44","2.2"," N/A "," 125/192 "
"IET Image Processing","IET IMAGE PROCESS","1751-9659","1751-9667","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2.3","0.4","2.3"," 105/145 "," 138/192 "
"Inteligencia Artificial-Iberoamerical Journal of Artificial Intelligence","INTELIGENCIA ARTIFIC","1137-3601","1988-3064","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","2.3","0.14","N/A"," N/A "," 180/192 "
"JOURNAL OF MOLECULAR MODELING","J MOL MODEL","1610-2940","0948-5023","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","2.2","0.42","1.8"," 83/110 "," 115/163 "
"JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE","J EXP THEOR ARTIF IN","0952-813X","1362-3079","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2.2","0.39","2.2"," 108/145 "," 139/192 "
"SIAM Journal on Imaging Sciences","SIAM J IMAGING SCI","1936-4954","1936-4954","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2.1","0.64","2.9"," 109/145 "," 92/192 "
"R Journal","R J","2073-4859","N/A","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","2.1","0.51","10.3"," 84/110 "," 101/163 "
"INFORMS JOURNAL ON COMPUTING","INFORMS J COMPUT","1091-9856","1526-5528","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","2.1","0.46","2.5"," 84/110 "," 110/163 "
"COMPUTING IN SCIENCE & ENGINEERING","COMPUT SCI ENG","1521-9615","1558-366X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","2.1","0.43","2.5"," 84/110 "," 112/163 "
