Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"Applied Ontology","APPL ONTOL","1570-5838","1875-8533","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1","0.27","1.3"," 136/145 "," 157/192 "
"Journal of Advances in Information Technology","J ADV INFORM TECHNOL","1798-2340","1798-2340","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","1","0.2","N/A"," N/A "," 148/163 "
"PATTERN RECOGNITION AND IMAGE ANALYSIS","PATTERN RECOGN IMAGE","1054-6618","1555-6212","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","1","0.19","N/A"," N/A "," 149/163 "
"International Journal of Innovative Computing Information and Control","INT J INNOV COMPUT I","1349-4198","1349-418X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","1","0.16","0.8"," N/A "," 174/192 "
"ACM SIGecom Exchanges","ACM SIGECOM EXCH","1551-9031","1551-9031","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","1","0.15","1.1"," N/A "," 156/163 "
"Intelligent Decision Technologies-Netherlands","INTELL DECIS TECHNOL","1872-4981","1875-8843","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","1","0.11","1.2"," N/A "," 184/192 "
"AI MAGAZINE","AI MAG","0738-4602","2371-9621","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","0.9","0.37","4"," 137/145 "," 145/192 "
"ACM Transactions on Modeling and Computer Simulation","ACM T MODEL COMPUT S","1049-3301","1558-1195","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","0.9","0.29","1.4"," 108/110 "," 135/163 "
"INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING","INT J SOFTW ENG KNOW","0218-1940","1793-6403","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","0.9","0.27","0.9"," 137/145 "," 157/192 "
"CCF Transactions on High Performance Computing","CCF T HIGH PERFORM C","2524-4922","2524-4930","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","0.9","0.18","1.1"," N/A "," 150/163 "
"Journal of Algorithms & Computational Technology","J ALGORITHMS COMPUT","1748-3018","1748-3026","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","0.9","0.18","1.1"," N/A "," 150/163 "
"Vietnam Journal of Computer Science","VIETNAM J COMPUT SCI","2196-8888","2196-8896","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","0.9","0.18","N/A"," N/A "," 170/192 "
"International Journal of Cognitive Informatics and Natural Intelligence","INT J COGN INFORM NA","1557-3958","1557-3966","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","0.9","0.16","0.7"," N/A "," 174/192 "
"Journal of Information Technology Research","J INF TECHNOL RES","1938-7857","1938-7865","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","0.9","0.16","0.7"," N/A "," 154/163 "
"Journal of Logic Language and Information","J LOGIC LANG INFORM","0925-8531","1572-9583","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","0.8","0.7","0.8"," 139/145 "," 84/192 "
"Advances in Electrical and Computer Engineering","ADV ELECTR COMPUT EN","1582-7445","1844-7600","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","0.8","0.18","1"," 139/145 "," 170/192 "
"Neural Network World","NEURAL NETW WORLD","1210-0552","N/A","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","0.8","0.17","1.1"," 139/145 "," 173/192 "
"AI COMMUNICATIONS","AI COMMUN","0921-7126","1875-8452","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","0.8","0.16","2"," 139/145 "," 174/192 "
"International Journal of Semantic Computing","INT J SEMANT COMPUT","1793-351X","1793-7108","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","0.8","0.13","0.7"," N/A "," 181/192 "
"Journal of Computer Science & Technology","J COMPUT SCI TECHNOL","1666-6046","1666-6038","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","0.7","0.41","0.6"," N/A "," 134/192 "
"COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING","COMPEL","0332-1649","0332-1649","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","0.7","0.25","0.7"," 109/110 "," 141/163 "
"APPLICABLE ALGEBRA IN ENGINEERING COMMUNICATION AND COMPUTING","APPL ALGEBR ENG COMM","0938-1279","1432-0622","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","0.7","0.23","0.8"," 109/110 "," 143/163 "
"International Journal of Digital Crime and Forensics","INT J DIGIT CRIME FO","1941-6210","1941-6229","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","0.7","0.18","0.8"," N/A "," 150/163 "
"International Journal of Applied Metaheuristic Computing","INT J APPL METAHEUR","1947-8283","N/A","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","0.7","0.15","0.7"," N/A "," 178/192 "
"International Journal of Biometrics","INT J BIOMETRICS","1755-8301","1755-831X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","0.7","0.12","0.8"," N/A "," 182/192 "
"COMPUTING AND INFORMATICS","COMPUT INFORM","1335-9150","1335-9150","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","0.7","0.11","0.6"," 143/145 "," 184/192 "
"Journal of Advanced Computational Intelligence and Intelligent Informatics","J ADV COMPUT INTELL","1343-0130","1883-8014","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","0.7","0.1","0.5"," N/A "," 188/192 "
"International Journal of Knowledge-Based and Intelligent Engineering Systems","INT J KNOWL-BASED IN","1327-2314","1875-8827","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","0.7","0.09","1"," N/A "," 190/192 "
"Journal of Information and Organizational Sciences","J INF ORGAN SCI","1846-3312","1846-9418","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","0.6","0.13","0.6"," N/A "," 157/163 "
"International Journal of Applied Pattern Recognition","INT J APPL PATTERN R","2049-887X","2049-8888","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","0.6","0.12","0.5"," N/A "," 182/192 "
"JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL","J COMPUT SYS SC INT+","1064-2307","1555-6530","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","0.6","0.11","0.5"," 144/145 "," 184/192 "
"Malaysian Journal of Computer Science","MALAYS J COMPUT SCI","0127-9084","0127-9084","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","0.6","0.11","0.7"," 144/145 "," 184/192 "
"International Journal of Arts and Technology","INT J ARTS TECHNOL","1754-8853","1754-8861","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","0.6","0.09","0.5"," N/A "," 158/163 "
"ACCESS-Access to science business innovation in the digital economy","ACCESS-ACCESS SCI BU","N/A","2683-1007","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","0.5","0.16","0.6"," N/A "," 154/163 "
"Romanian Journal of Information Technology and Automatic Control-Revista Romana de Informatica si Automatica","ROM J INF TECH AUT C","1220-1758","1841-4303","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","0.5","0.09","0.3"," N/A "," 158/163 "
"International Journal of Data Mining Modelling and Management","INT J DATA MIN MODEL","1759-1163","1759-1171","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","0.5","0.08","0.5"," N/A "," 192/192 "
"Parallel Processing Letters","PARALLEL PROCESS LET","0129-6264","1793-642X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","0.4","0.07","0.5"," N/A "," 160/163 "
"Web Intelligence","WEB INTELL","2405-6456","2405-6464","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","0.3","0.1","0.7"," N/A "," 188/192 "
"IADIS-International Journal on Computer Science and Information Systems","IADIS-INT J COMPUT S","1646-3692","1646-3692","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","0.2","0.03","0.3"," N/A "," 161/163 "
"Revista Brasileira de Computacao Aplicada","REV BRAS COMPUT APL","2176-6649","2176-6649","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","0.2","0.03","0.2"," N/A "," 161/163 "
"ERCIM News","ERCIM NEWS","0926-4981","1564-0094","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","0.1","0.03","0.1"," N/A "," 161/163 "
"Machine Intelligence Research","MACH INTELL RES","2731-538X","2731-5398","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","N/A","N/A","N/A"," N/A "," N/A "
