Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
1	Journal of Statistical Software	"14	900"	22.737	0.038710
2	AMERICAN STATISTICIAN	"5	299"	4.302	0.004240
3	ECONOMETRICA	"32	128"	3.750	0.051840
4	MULTIVARIATE BEHAVIORAL RESEARCH	"5	881"	3.691	0.006420
5	Annual Review of Statistics and Its Application	228	3.290	0.002280
6	JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY	"22	476"	2.894	0.013590
7	CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS	"7	563"	2.701	0.007480
8	FUZZY SETS AND SYSTEMS	"15	853"	2.675	0.008930
9	STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT	"3	308"	2.671	0.005890
10	ANNALS OF STATISTICS	"18	778"	2.522	0.028430
11	JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY	"2	812"	2.473	0.005250
12	IEEE-ACM Transactions on Computational Biology and Bioinformatics	"2	296"	2.428	0.006410
13	Bayesian Analysis	"1	530"	2.342	0.004470
14	STATISTICAL SCIENCE	"5	626"	2.324	0.008640
15	JOURNAL OF QUALITY TECHNOLOGY	"2	758"	2.306	0.001570
16	JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION	"33	497"	2.297	0.026920
17	STATISTICAL METHODS IN MEDICAL RESEARCH	"3	435"	2.284	0.009480
18	Stata Journal	"3	650"	2.158	0.005970
19	ANNALS OF PROBABILITY	"5	275"	2.118	0.017790
20	JOURNAL OF BUSINESS & ECONOMIC STATISTICS	"5	187"	2.115	0.011130
21	INTERNATIONAL STATISTICAL REVIEW	"1	731"	2.053	0.002340
22	PROBABILITY THEORY AND RELATED FIELDS	"3	040"	1.992	0.013010
23	STATISTICS IN MEDICINE	"23	519"	1.932	0.033030
24	STATISTICS AND COMPUTING	"3	607"	1.851	0.010020
25	JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS	"3	748"	1.790	0.008020
26	ANNALS OF APPLIED PROBABILITY	"3	119"	1.786	0.013840
27	FINANCE AND STOCHASTICS	"1	302"	1.750	0.004890
27	JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS	"3	753"	1.750	0.004420
29	PROBABILISTIC ENGINEERING MECHANICS	"2	306"	1.693	0.002870
30	BIOMETRIKA	"20	174"	1.669	0.013190
31	Advances in Data Analysis and Classification	336	1.653	0.001610
32	TECHNOMETRICS	"7	795"	1.568	0.003230
33	Scandinavian Actuarial Journal	703	1.550	0.001690
34	Annals of Applied Statistics	"2	520"	1.548	0.010300
35	BIOMETRICS	"20	622"	1.524	0.013430
36	LAW PROBABILITY & RISK	216	1.516	0.000620
37	OXFORD BULLETIN OF ECONOMICS AND STATISTICS	"2	992"	1.512	0.004020
38	BIOSTATISTICS	"3	600"	1.504	0.006800
39	JOURNAL OF CHEMOMETRICS	"3	171"	1.500	0.001790
