Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,NATURE REVIEWS GENETICS,"36,697",43.704,0.079260
2,NATURE GENETICS,"93,920",25.455,0.221380
3,TRENDS IN ECOLOGY & EVOLUTION,"36,697",15.236,0.035920
4,MOLECULAR BIOLOGY AND EVOLUTION,"46,915",14.797,0.092200
5,GENOME BIOLOGY,"38,920",14.028,0.133310
6,Genome Medicine,"5,264",10.886,0.023220
7,TRENDS IN GENETICS,"11,959",10.627,0.021110
8,GENOME RESEARCH,"39,240",9.944,0.079580
9,AMERICAN JOURNAL OF HUMAN GENETICS,"36,007",9.924,0.063650
10,Annual Review of Genetics,"7,478",9.184,0.011380
11,GENES & DEVELOPMENT,"54,563",8.990,0.072340
12,GENETICS IN MEDICINE,"10,855",8.683,0.035800
13,MOLECULAR THERAPY,"16,991",8.402,0.030050
14,Annual Review of Genomics and Human Genetics,"2,537",7.914,0.006020
15,ONCOGENE,"63,249",6.634,0.074600
16,GENOMICS PROTEOMICS & BIOINFORMATICS,"1,612",6.597,0.004790
17,MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,"3,566",6.081,0.004090
18,JOURNAL OF MEDICAL GENETICS,"12,417",5.899,0.016850
19,Molecular Autism,"2,107",5.712,0.008000
20,AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS,"2,139",5.683,0.004860
21,Clinical Epigenetics,"2,900",5.496,0.009690
22,CURRENT OPINION IN GENETICS & DEVELOPMENT,"7,687",5.288,0.016910
23,PLoS Genetics,"43,864",5.224,0.143490
24,HUMAN GENETICS,"8,640",5.207,0.014490
25,Advances in Genetics,"1,636",4.913,0.003180
26,Forensic Science International-Genetics,"4,388",4.884,0.007040
27,Circulation-Cardiovascular Genetics,"3,441",4.864,0.010500
28,Microbial Genomics,573,4.853,0.003040
29,JOURNAL OF MOLECULAR MEDICINE-JMM,"7,195",4.746,0.010880
30,CANCER GENE THERAPY,"2,842",4.681,0.003200
31,Journal of Genetics and Genomics,"2,005",4.650,0.004740
32,HUMAN MOLECULAR GENETICS,"39,859",4.544,0.069190
33,HUMAN MUTATION,"13,037",4.453,0.024570
34,npj Genomic Medicine,305,4.422,0.001620
35,Epigenomics,"2,555",4.404,0.007650
36,JOURNAL OF INHERITED METABOLIC DISEASE,"5,868",4.287,0.008410
37,Epigenetics & Chromatin,"1,623",4.185,0.007590
38,Epigenetics,"5,480",4.173,0.013400
39,CLINICAL GENETICS,"7,288",4.104,0.014560
40,Plant Genome,"1,425",4.042,0.003320
41,DNA RESEARCH,"2,996",4.000,0.005130
42,MOLECULAR PHYLOGENETICS AND EVOLUTION,"19,188",3.992,0.028460
43,THEORETICAL AND APPLIED GENETICS,"20,017",3.926,0.013530
44,HUMAN GENE THERAPY,"5,639",3.855,0.007540
45,GENE THERAPY,"7,223",3.749,0.007040
46,Genome Biology and Evolution,"6,587",3.726,0.026090
47,DNA REPAIR,"5,058",3.711,0.011920
48,Orphanet Journal of Rare Diseases,"6,654",3.687,0.015860
49,EUROPEAN JOURNAL OF HUMAN GENETICS,"9,874",3.650,0.023500
50,Mobile DNA,725,3.630,0.003620
51,MOLECULAR GENETICS AND METABOLISM,"7,018",3.610,0.009900
52,EVOLUTION,"31,677",3.573,0.029010
53,GENETICS,"41,941",3.564,0.047260
54,JOURNAL OF HUMAN GENETICS,"4,124",3.545,0.008270
55,CHROMOSOMA,"3,180",3.530,0.004730
56,Frontiers in Genetics,"7,448",3.517,0.026160
57,PHARMACOGENOMICS JOURNAL,"2,744",3.503,0.004600
58,BMC GENOMICS,"39,876",3.501,0.095280
59,CURRENT GENETICS,"3,641",3.464,0.003760
60,MITOCHONDRION,"3,539",3.449,0.006690
61,Genes,"3,103",3.331,0.009570
62,FUNGAL GENETICS AND BIOLOGY,"5,736",3.314,0.007110
63,Biology of Sex Differences,"1,007",3.188,0.002640
64,HEREDITY,"9,521",3.179,0.010620
65,GENOMICS,"8,698",3.160,0.005530
66,Cancer Genomics & Proteomics,894,3.147,0.001440
67,Briefings in Functional Genomics,"1,641",3.133,0.003270
68,AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS,"4,087",3.123,0.006280
69,GENETICS SELECTION EVOLUTION,"2,813",3.094,0.004790
70,Molecular Diagnosis & Therapy,984,3.058,0.002380
71,BMC EVOLUTIONARY BIOLOGY,"12,929",3.045,0.023860
72,NEUROGENETICS,"1,268",3.017,0.002320
73,GENES CHROMOSOMES & CANCER,"4,554",2.940,0.006170
74,DNA AND CELL BIOLOGY,"3,335",2.918,0.004040
75,MUTAGENESIS,"3,449",2.898,0.002660
76,Genes and Nutrition,"1,472",2.883,0.002320
77,MOLECULAR GENETICS AND GENOMICS,"4,251",2.879,0.005780
78,JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,"4,940",2.820,0.009830
79,DISEASE MARKERS,"3,479",2.761,0.006820
80,FUNCTIONAL & INTEGRATIVE GENOMICS,"1,873",2.745,0.002520
81,Pharmacogenetics and Genomics,"3,177",2.693,0.003410
82,GENE,"25,503",2.638,0.031040
83,GENES AND IMMUNITY,"2,829",2.631,0.003720
84,G3-Genes Genomes Genetics,"5,441",2.630,0.023660
85,JOURNAL OF HEREDITY,"6,215",2.618,0.004500
86,OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY,"2,021",2.610,0.002550
87,PHYSIOLOGICAL GENOMICS,"4,426",2.581,0.004190
88,PLASMID,"1,894",2.577,0.001860
89,Comparative Biochemistry and Physiology D-Genomics & Proteomics,969,2.573,0.001530
90,Biotechnology & Genetic Engineering Reviews,524,2.571,0.000220
91,BMC Medical Genomics,"2,556",2.568,0.006570
92,BMC GENETICS,"4,153",2.547,0.007690
93,Human Genomics,"1,158",2.544,0.002400
94,JOURNAL OF EVOLUTIONARY BIOLOGY,"10,594",2.541,0.015540
95,ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,"3,376",2.528,0.003370
96,GENETIC EPIDEMIOLOGY,"2,702",2.500,0.006800
97,IMMUNOGENETICS,"3,243",2.492,0.002760
98,EVOLUTIONARY ECOLOGY,"3,607",2.465,0.003220
99,Molecular Genetics & Genomic Medicine,799,2.448,0.003480
100,Journal of Genetic Counseling,"2,378",2.446,0.005110
101,PRENATAL DIAGNOSIS,"5,754",2.434,0.011300
102,MAMMALIAN GENOME,"2,715",2.343,0.003410
103,BEHAVIOR GENETICS,"3,084",2.313,0.003990
104,International Journal of Genomics,740,2.303,0.002170
105,CONSERVATION GENETICS,"4,117",2.283,0.005170
106,MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS,"6,318",2.256,0.003920
107,ANIMAL GENETICS,"3,387",2.244,0.004100
108,CURRENT GENE THERAPY,"1,200",2.218,0.001790
109,Familial Cancer,"1,678",2.209,0.004220
110,AMERICAN JOURNAL OF MEDICAL GENETICS PART A,"11,571",2.197,0.021500
111,CHROMOSOME RESEARCH,"2,291",2.183,0.002660
111,Cancer Genetics,"1,094",2.183,0.003290
113,CURRENT GENOMICS,"2,027",2.174,0.002180
114,GENOME,"4,264",2.152,0.002730
115,GENETICS AND MOLECULAR BIOLOGY,"2,526",2.127,0.002680
116,Human Gene Therapy Methods,410,2.089,0.001220
117,European Journal of Medical Genetics,"2,126",2.022,0.005260
118,MUTATION RESEARCH-FUNDAMENTAL AND MOLECULAR MECHANISMS OF MUTAGENESIS,"7,025",2.011,0.003490
119,Journal of Nutrigenetics and Nutrigenomics,348,1.943,0.000640
120,BIOCHEMICAL GENETICS,"1,179",1.931,0.000960
121,GENES TO CELLS,"3,980",1.922,0.004540
122,Marine Genomics,948,1.904,0.002510
123,MOLECULAR BREEDING,"5,159",1.862,0.007070
123,Tree Genetics & Genomes,"2,499",1.862,0.004640
125,Molecular Genetics and Metabolism Reports,507,1.845,0.001650
126,CRITICAL REVIEWS IN EUKARYOTIC GENE EXPRESSION,921,1.841,0.000720
127,EVOLUTION & DEVELOPMENT,"1,822",1.820,0.001810
128,JOURNAL OF MOLECULAR EVOLUTION,"7,623",1.782,0.002180
129,BMC Medical Genetics,"2,951",1.740,0.005300
129,GENESIS,"4,174",1.740,0.004490
131,JOURNAL OF APPLIED GENETICS,"1,249",1.725,0.001980
132,JOURNAL OF NEUROGENETICS,731,1.698,0.001270
133,VIRUS GENES,"2,482",1.616,0.003470
134,BIRTH DEFECTS RESEARCH PART B-DEVELOPMENTAL AND REPRODUCTIVE TOXICOLOGY,857,1.600,0.000500
