Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
"AMERICAN STATISTICIAN","AM STAT","0003-1305","1537-2731","STATISTICS & PROBABILITY - SCIE","9,788","8.325","Q1","2.23","25.24"%,
"Annual Review of Statistics and Its Application","ANNU REV STAT APPL","2326-8298","2326-831X","STATISTICS & PROBABILITY - SCIE","1,121","7.917","Q1","2.66","1.72"%,
"Journal of Statistical Software","J STAT SOFTW","1548-7660","1548-7660","STATISTICS & PROBABILITY - SCIE","44,604","6.992","Q1","1.95","96.24"%,
"ECONOMETRICA","ECONOMETRICA","0012-9682","1468-0262","STATISTICS & PROBABILITY - SCIE","47,762","6.383","Q1","2.25","0"%,
"JOURNAL OF BUSINESS & ECONOMIC STATISTICS","J BUS ECON STAT","0735-0015","1537-2707","STATISTICS & PROBABILITY - SCIE","8,785","5.309","Q1","1.75","9.37"%,
"BIOSTATISTICS","BIOSTATISTICS","1465-4644","1468-4357","STATISTICS & PROBABILITY - SCIE","5,158","5.279","Q1","1.81","13.68"%,
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","J R STAT SOC B","1369-7412","1467-9868","STATISTICS & PROBABILITY - SCIE","34,404","4.933","Q1","2.1","18.57"%,
"ANNALS OF STATISTICS","ANN STAT","0090-5364","N/A","STATISTICS & PROBABILITY - SCIE","30,195","4.904","Q1","1.88","2.16"%,
"FUZZY SETS AND SYSTEMS","FUZZY SET SYST","0165-0114","1872-6801","STATISTICS & PROBABILITY - SCIE","19,849","4.462","Q1","1.86","1.55"%,
"Stata Journal","STATA J","1536-867X","1536-8734","STATISTICS & PROBABILITY - SCIE","8,007","4.45","Q1","1.51","15.89"%,
"JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION","J AM STAT ASSOC","0162-1459","1537-274X","STATISTICS & PROBABILITY - SCIE","50,865","4.369","Q1","1.84","6.77"%,
"CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS","CHEMOMETR INTELL LAB","0169-7439","1873-3239","STATISTICS & PROBABILITY - SCIE","12,344","4.175","Q1","1.11","6.94"%,
"STATISTICAL SCIENCE","STAT SCI","0883-4237","2168-8745","STATISTICS & PROBABILITY - SCIE","8,735","4.015","Q1","1.47","8.08"%,
"STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT","STOCH ENV RES RISK A","1436-3240","1436-3259","STATISTICS & PROBABILITY - SCIE","5,920","3.821","Q1","0.89","11"%,
"IEEE-ACM Transactions on Computational Biology and Bioinformatics","IEEE ACM T COMPUT BI","1545-5963","1557-9964","STATISTICS & PROBABILITY - SCIE","5,332","3.702","Q1","1.21","3.74"%,
"Bayesian Analysis","BAYESIAN ANAL","1931-6690","1936-0975","STATISTICS & PROBABILITY - SCIE","2,898","3.396","Q1","1.14","100"%,
"Wiley Interdisciplinary Reviews-Computational Statistics","WIRES COMPUT STAT","1939-0068","1939-0068","STATISTICS & PROBABILITY - SCIE","3,181","3.282","Q1","0.76","15.38"%,
"MULTIVARIATE BEHAVIORAL RESEARCH","MULTIVAR BEHAV RES","0027-3171","1532-7906","STATISTICS & PROBABILITY - SCIE","10,618","3.085","Q1","1.33","11.95"%,
"Econometrics Journal","ECONOMET J","1368-4221","1368-423X","STATISTICS & PROBABILITY - SCIE","1,747","3.071","Q1","1.6","13.16"%,
"BIOMETRIKA","BIOMETRIKA","0006-3444","1464-3510","STATISTICS & PROBABILITY - SCIE","28,960","3.028","Q1","0.85","5.93"%,
"PROBABILISTIC ENGINEERING MECHANICS","PROBABILIST ENG MECH","0266-8920","1878-4275","STATISTICS & PROBABILITY - SCIE","3,458","2.954","Q1","0.96","3.1"%,
"Quality Technology and Quantitative Management","QUAL TECHNOL QUANT M","1684-3703","1811-4857","STATISTICS & PROBABILITY - SCIE","806","2.614","Q1","0.87","0"%,
"Astin Bulletin-The Journal of the International Actuarial Association","ASTIN BULL","0515-0361","1783-1350","STATISTICS & PROBABILITY - SCIE","1,404","2.545","Q1","0.75","13.76"%,
"OXFORD BULLETIN OF ECONOMICS AND STATISTICS","OXFORD B ECON STAT","0305-9049","1468-0084","STATISTICS & PROBABILITY - SCIE","4,905","2.518","Q1","0.78","20.79"%,
"JOURNAL OF CHEMOMETRICS","J CHEMOMETR","0886-9383","1099-128X","STATISTICS & PROBABILITY - SCIE","4,544","2.5","Q1","0.66","12.77"%,
"STATISTICS IN MEDICINE","STAT MED","0277-6715","1097-0258","STATISTICS & PROBABILITY - SCIE","34,646","2.497","Q1","0.64","17.19"%,
"STATISTICAL METHODS IN MEDICAL RESEARCH","STAT METHODS MED RES","0962-2802","1477-0334","STATISTICS & PROBABILITY - SCIE","7,405","2.494","Q1","0.9","15.53"%,
"Stat","STAT-US","2049-1573","2049-1573","STATISTICS & PROBABILITY - SCIE","882","2.451","Q1","0.4","10.77"%,
"Journal of Survey Statistics and Methodology","J SURV STAT METHODOL","2325-0984","2325-0992","STATISTICS & PROBABILITY - SCIE","495","2.446","Q1","1.03","13.87"%,
