"Journal Data Filtered By:  Selected JCR Year: 2020 Selected Editions: SCIE,SSCI Selected Categories: 'COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
87,International Journal on Document Analysis and Recognition,669,2.085,0.00043
88,NEURAL COMPUTATION,"17,465",2.026,0.00458
89,MACHINE VISION AND APPLICATIONS,"2,430",2.012,0.00186
90,DATA & KNOWLEDGE ENGINEERING,"1,742",1.992,0.00097
91,CONNECTION SCIENCE,583,1.971,0.00043
92,IET Computer Vision,"1,299",1.95,0.00176
93,ADAPTIVE BEHAVIOR,824,1.942,0.00057
94,Evolving Systems,448,1.908,0.0004
95,COMPUTER SPEECH AND LANGUAGE,"1,550",1.899,0.0023
96,Journal of Web Semantics,"1,081",1.897,0.00103
97,JOURNAL OF INTELLIGENT INFORMATION SYSTEMS,"1,128",1.888,0.00111
98,IEEE Transactions on Games,169,1.851,0.00032
99,Journal on Multimodal User Interfaces,438,1.769,0.0005
100,International Journal of Computational Intelligence Systems,"1,771",1.736,0.00198
101,Genetic Programming and Evolvable Machines,426,1.714,0.00031
102,Natural Computing,961,1.69,0.00118
103,JOURNAL OF HEURISTICS,"1,422",1.682,0.001
104,CONSTRAINTS,308,1.679,0.00051
105,AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,814,1.671,0.00061
106,INTELLIGENT AUTOMATION AND SOFT COMPUTING,833,1.647,0.00066
107,JOURNAL OF MATHEMATICAL IMAGING AND VISION,"2,399",1.627,0.00393
108,APPLIED ARTIFICIAL INTELLIGENCE,"1,099",1.58,0.00074
109,INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS,"1,916",1.518,0.00073
109,Neural Network World,388,1.518,0.00024
111,INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,704,1.47,0.00063
112,AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS,851,1.431,0.00086
113,International Journal of Applied Mathematics and Computer Science,"1,197",1.417,0.00093
114,ACM Transactions on Asian and Low-Resource Language Information Processing,245,1.413,0.00044
115,PeerJ Computer Science,992,1.392,0.00401
116,INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,"2,180",1.373,0.0017
117,NETWORK-COMPUTATION IN NEURAL SYSTEMS,740,1.273,0.00012
118,Information Technology and Control,363,1.228,0.00034
119,Advances in Electrical and Computer Engineering,514,1.221,0.00038
120,International Journal on Artificial Intelligence Tools,616,1.208,0.00056
121,Applied Ontology,198,1.115,0.00025
121,KNOWLEDGE ENGINEERING REVIEW,960,1.115,0.00044
123,AI MAGAZINE,"1,825",1.094,0.00155
124,Natural Language Engineering,625,1.07,0.00068
125,Statistical Analysis and Data Mining,626,1.051,0.00095
126,ACM Transactions on Autonomous and Adaptive Systems,391,0.971,0.00039
127,JOURNAL OF AUTOMATED REASONING,642,0.944,0.00126
128,JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING,491,0.861,0.00041
129,Intelligent Data Analysis,"1,304",0.86,0.00067
130,International Journal on Semantic Web and Information Systems,428,0.843,0.00023
131,Journal of Logic Language and Information,313,0.829,0.00045
132,Turkish Journal of Electrical Engineering and Computer Sciences,"1,718",0.806,0.00196
133,ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE,974,0.789,0.0012
134,International Arab Journal of Information Technology,786,0.669,0.00056
135,ARTIFICIAL LIFE,789,0.667,0.0003
136,Malaysian Journal of Computer Science,166,0.622,0.00023
137,AI COMMUNICATIONS,489,0.537,0.00047
138,JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,457,0.536,0.00041
139,COMPUTING AND INFORMATICS,379,0.319,0.00026
Copyright © 2021 Clarivate,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,
